Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
54,2010,CHW,AL,88,74,.543,1446.1,162,162,704,4.38,4.48,-0.39,0.01,102.9,5.02,92,10.3,1.13,-0.5,24.9,251,.518,.518,$56380000
55,2014,SEA,AL,87,75,.537,1452.0,162,162,554,3.43,4.25,0.10,0.00,94.6,3.93,59,7.1,1.12,-1.7,19.8,211,.511,.511,$43809000
56,2013,KCR,AL,86,76,.531,1448.1,162,162,601,3.73,4.37,0.55,0.01,103.3,3.96,16,2.5,1.38,-1.1,15.7,173,.504,.504,$43509300
57,2013,WSN,NL,86,76,.531,1445.2,162,162,626,3.90,3.96,0.00,0.01,100.8,4.00,24,3.4,1.07,-1.5,14.8,132,.506,.506,$52918000
58,2012,LAD,NL,86,76,.531,1450.0,162,162,597,3.71,4.43,-0.11,0.01,95.5,4.34,89,10.3,1.16,-0.5,22.3,219,.515,.515,$58313100
59,2011,LAA,AL,86,76,.531,1465.0,162,162,633,3.89,4.47,0.20,0.02,92.1,3.95,1,1.2,1.39,-1.6,14.8,159,.502,.502,$64933000
60,2011,SFG,NL,86,76,.531,1468.0,162,162,578,3.54,4.18,0.17,0.00,92.1,3.70,21,2.8,1.28,-0.9,14.4,141,.504,.504,$63201833
61,2010,STL,NL,86,76,.531,1453.2,162,162,641,3.97,4.36,0.20,0.01,96.9,4.04,8,2.3,1.07,-1.1,13.7,132,.504,.504,$47855971
62,2014,CLE,AL,85,77,.525,1468.1,162,162,653,4.00,4.24,-0.36,-0.01,102.1,4.70,92,11.4,1.20,-0.8,25.1,246,.516,.516,$13537933
63,2013,BAL,AL,85,77,.525,1453.0,162,162,709,4.39,4.43,0.14,-0.01,101.7,4.35,-28,-2.4,1.23,-0.8,11.2,130,.496,.496,$34252500
64,2013,NYY,AL,85,77,.525,1447.1,162,162,671,4.17,4.46,0.13,0.01,100.3,4.35,8,1.6,1.14,-0.6,15.3,165,.503,.503,$78788900
65,2012,CHW,AL,85,77,.525,1445.2,162,162,676,4.21,4.44,0.04,0.01,104.1,4.59,61,7.6,1.25,-0.9,21.6,208,.512,.512,$51490000
66,2010,TOR,AL,85,77,.525,1440.2,162,162,728,4.55,4.61,-0.01,-0.01,101.3,4.66,8,1.4,1.13,-0.8,15.6,166,.502,.502,$16895800
67,2014,NYY,AL,84,78,.519,1453.0,162,162,664,4.11,4.18,0.07,0.00,100.3,4.12,-20,-0.8,1.29,-0.8,12.8,133,.499,.499,$85166550
68,2014,TOR,AL,83,79,.512,1443.0,162,162,686,4.28,4.12,-0.27,0.00,99.3,4.36,-8,0.0,1.09,-1.3,13.0,144,.500,.500,$58144800
69,2012,MIL,NL,83,79,.512,1453.2,162,162,733,4.54,4.21,0.09,-0.01,104.4,4.29,-54,-5.1,1.10,-1.3,6.2,77,.493,.493,$52074000
70,2010,COL,NL,83,79,.512,1442.0,162,162,717,4.48,4.44,0.19,0.00,113.9,4.84,55,6.8,1.23,-1.6,17.7,178,.510,.510,$42872000
71,2011,LAD,NL,82,79,.509,1432.1,161,161,612,3.85,4.13,-0.07,0.01,96.7,4.06,30,4.2,1.05,-0.5,15.9,147,.507,.507,$47474390
72,2014,MIL,NL,82,80,.506,1457.2,162,162,657,4.06,3.98,0.04,0.01,102.9,4.05,12,1.8,1.13,-1.1,13.8,114,.503,.503,$57169000
73,2013,ARI,NL,81,81,.500,1495.0,162,162,695,4.18,4.11,0.42,0.00,102.3,3.77,-61,-6.3,1.26,-1.9,5.2,51,.491,.491,$35279000
74,2012,ARI,NL,81,81,.500,1433.2,162,162,688,4.32,4.33,0.09,0.01,102.8,4.36,-7,-0.1,1.01,-0.6,11.7,122,.500,.500,$24473333
75,2012,PHI,NL,81,81,.500,1451.1,162,162,680,4.22,4.28,0.10,0.02,102.2,4.30,0,0.5,1.20,-1.1,12.0,130,.501,.501,$85590058
76,2011,TOR,AL,81,81,.500,1458.2,162,162,761,4.70,4.60,-0.07,-0.01,104.4,4.86,19,3.1,1.11,-1.5,16.8,177,.505,.505,$25926500
77,2010,DET,AL,81,81,.500,1444.1,162,162,743,4.63,4.49,0.14,-0.01,100.6,4.37,-52,-4.4,1.12,-1.3,9.3,107,.492,.492,$45216052
78,2010,OAK,AL,81,81,.500,1431.2,162,162,626,3.94,4.45,0.36,0.01,98.9,4.05,8,1.4,1.09,-0.6,15.7,165,.502,.502,$18797400
79,2011,WSN,NL,80,81,.497,1449.1,161,161,643,3.99,4.16,0.14,-0.01,100.2,4.01,-2,0.3,1.28,-0.4,12.4,117,.501,.501,$27575000
80,2011,CLE,AL,80,82,.494,1453.1,162,162,760,4.71,4.46,-0.27,-0.01,96.7,4.56,-32,-2.6,1.19,-0.3,12.2,125,.496,.496,$14931900
81,2010,FLA,NL,80,82,.494,1438.2,162,162,717,4.49,4.45,-0.13,-0.01,102.6,4.70,30,4.7,1.14,-1.3,15.7,152,.507,.507,$26720219
82,2010,LAA,AL,80,82,.494,1449.1,162,162,702,4.36,4.44,-0.10,0.01,96.6,4.39,-5,0.2,1.10,-1.1,14.2,154,.500,.500,$51503000
83,2010,LAD,NL,80,82,.494,1441.2,162,162,692,4.32,4.43,-0.38,0.00,96.8,4.66,51,6.6,1.13,-1.1,17.9,173,.510,.510,$37637833
