"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Tony Graffanino","- - -","110","417","7","68","38","7","7.4%","12.2%",".116",".342",".309",".366",".425",".348","110","1.1","6.1","-6.2","1.4","235"
"Aaron Guiel","Royals","33","121","4","18","7","1","5.0%","17.4%",".156",".329",".294",".355",".450",".350","112","1.9","3.6","6.2","1.4","1503"
"Joey Gathright","Devil Rays","76","218","0","29","13","20","4.6%","17.9%",".064",".341",".276",".316",".340",".293","77","2.7","-3.3","9.7","1.4","3913"
"Reed Johnson","Blue Jays","142","439","8","55","58","5","5.0%","18.7%",".143",".320",".269",".332",".412",".327","96","1.5","-0.4","-0.7","1.4","1702"
"So Taguchi","Cardinals","143","424","8","45","53","11","4.7%","14.6%",".124",".321",".288",".322",".412",".318","92","1.9","-2.2","1.9","1.4","1186"
"Dan Johnson","Athletics","109","434","15","54","58","0","11.5%","12.0%",".176",".278",".275",".355",".451",".350","117","-1.1","7.8","-9.0","1.4","2167"
"Sean Casey","Reds","137","587","9","75","58","2","8.2%","8.2%",".112",".327",".312",".371",".423",".349","109","-4.3","2.6","-8.7","1.3","314"
"Damian Jackson","Padres","118","313","5","44","23","15","9.6%","14.4%",".087",".288",".255",".335",".342",".306","90","4.3","0.4","2.3","1.3","471"
"Jason Marquis","Cardinals","44","91","1","10","10","0","2.2%","12.1%",".149",".347",".310",".326",".460",".339","106","0.0","0.7","9.3","1.3","105"
"Paul Lo Duca","Marlins","132","496","6","45","57","4","6.9%","6.3%",".097",".288",".283",".334",".380",".311","89","-3.1","-10.2","6.9","1.3","662"
"Chris Burke","Astros","108","359","5","49","26","11","6.4%","17.3%",".119",".291",".248",".309",".368",".299","78","2.7","-7.1","8.1","1.3","2164"
"Magglio Ordonez","Tigers","82","343","8","38","46","0","8.7%","10.2%",".134",".312",".302",".359",".436",".346","113","-1.1","4.3","-3.5","1.2","248"
"Junior Spivey","- - -","77","293","7","37","24","9","9.9%","28.3%",".147",".312",".232",".315",".378",".305","83","3.6","-2.8","5.5","1.2","74"
"Luis Matos","Orioles","121","433","4","53","32","17","6.2%","13.4%",".093",".317",".280",".340",".373",".317","93","4.0","0.2","-2.5","1.2","152"
"Jayson Werth","Dodgers","102","395","7","46","43","11","12.2%","28.9%",".139",".329",".234",".338",".374",".317","91","2.3","-2.0","1.4","1.2","1327"
"Emil Brown","Royals","150","609","17","75","86","10","7.9%","17.7%",".169",".326",".286",".349",".455",".349","111","0.2","8.3","-16.7","1.2","1197"
"Mike Lieberthal","Phillies","118","443","12","48","47","0","7.9%","7.9%",".156",".260",".263",".336",".418",".320","89","-0.7","-6.9","4.6","1.2","959"
"Ramon Castro","Mets","99","240","8","26","41","1","10.4%","24.2%",".191",".295",".244",".321",".435",".325","97","-0.9","-1.8","5.9","1.2","514"
"Nick Green","Devil Rays","111","375","5","53","29","3","8.8%","22.9%",".107",".309",".239",".329",".346",".305","86","2.9","-3.7","2.9","1.2","1502"
"Michael Cuddyer","Twins","126","470","12","55","42","3","8.7%","19.8%",".159",".309",".263",".330",".422",".325","98","-4.8","-5.8","1.7","1.2","1534"
"Shawn Green","Diamondbacks","158","656","22","87","73","8","9.5%","14.5%",".191",".305",".286",".355",".477",".356","111","-0.8","8.0","-17.7","1.2","651"
"Abraham Nunez","Cardinals","139","467","5","64","44","0","7.9%","13.5%",".076",".326",".285",".343",".361",".312","88","0.7","-6.1","2.6","1.2","1420"
"Jose Vidro","Nationals","87","347","7","38","32","0","8.9%","8.6%",".149",".283",".275",".339",".424",".330","102","-4.3","-3.4","3.6","1.2","802"
"Yadier Molina","Cardinals","114","421","8","36","49","2","5.5%","7.1%",".106",".254",".252",".295",".358",".285","71","-4.0","-19.5","17.2","1.1","7007"
"Wilson Betemit","Braves","115","274","4","36","20","1","8.0%","20.1%",".130",".376",".305",".359",".435",".342","107","-0.4","2.2","0.3","1.1","1861"
"Eric Hinske","Blue Jays","147","537","15","79","68","8","8.6%","22.5%",".168",".317",".262",".333",".430",".330","99","3.0","2.3","-9.4","1.1","1305"
"Curtis Granderson","Tigers","47","174","8","18","20","1","5.7%","24.7%",".222",".324",".272",".314",".494",".346","113","-1.1","1.7","3.5","1.1","4747"
"Luis Rodriguez","Twins","79","203","2","21","20","2","8.9%","11.3%",".114",".294",".269",".335",".383",".317","93","-0.8","-2.6","6.8","1.1","2364"
"Russell Branyan","Brewers","85","242","12","23","31","1","16.1%","33.1%",".233",".364",".257",".378",".490",".364","120","1.4","7.5","-4.3","1.1","370"
"Jason Lane","Astros","145","561","26","65","78","6","5.7%","18.7%",".232",".286",".267",".316",".499",".347","109","-2.3","4.3","-11.6","1.1","1397"
"Juan Rivera","Angels","106","376","15","46","59","1","6.1%","11.7%",".183",".274",".271",".316",".454",".333","105","-5.8","-3.5","1.7","1.1","843"
"Mike Jacobs","Mets","30","112","11","19","23","0","8.9%","19.6%",".400",".294",".310",".375",".710",".449","179","-1.5","9.5","-2.3","1.1","2231"
"Scott Rolen","Cardinals","56","223","5","28","28","1","11.2%","12.6%",".148",".250",".235",".323",".383",".312","88","-1.1","-4.4","8.1","1.1","970"
"Hee Seop Choi","Dodgers","133","368","15","40","42","1","9.2%","21.7%",".200",".288",".253",".336",".453",".342","108","-1.9","1.7","-3.0","1.1","270"
"Jorge Cantu","Devil Rays","150","631","28","73","117","1","3.0%","13.2%",".211",".289",".286",".311",".497",".343","112","-4.4","4.5","-15.2","1.1","2521"
"Carlos Zambrano","Cubs","34","84","1","8","6","0","0.0%","29.8%",".163",".426",".300",".300",".463",".325","92","0.0","-0.8","8.5","1.0","305"
"Craig Wilson","Pirates","59","238","5","23","22","3","12.6%","29.0%",".157",".379",".264",".387",".421",".359","118","0.5","5.9","-3.6","1.0","1015"
"Mike Matheny","Giants","134","485","13","42","59","0","6.0%","18.8%",".165",".274",".242",".295",".406",".297","76","-3.7","-18.3","12.6","1.0","1169"
"Travis Lee","Devil Rays","129","441","12","54","49","7","7.9%","15.0%",".153",".300",".272",".331",".426",".328","101","0.1","0.6","-5.4","1.0","958"
"Danny Ardoin","Rockies","80","248","6","28","22","1","8.1%","27.8%",".133",".307",".229",".320",".362",".303","70","-1.8","-11.0","13.1","1.0","585"
"Vinny Castilla","Nationals","142","549","12","53","66","4","7.8%","14.9%",".150",".280",".253",".319",".403",".312","90","-2.7","-9.5","1.6","1.0","84"
"Matt Stairs","Royals","127","466","13","55","66","1","12.9%","14.8%",".169",".301",".275",".373",".444",".357","116","-2.7","6.6","-12.4","1.0","1384"
"Dustan Mohr","Rockies","98","293","17","34","38","1","7.8%","32.1%",".252",".255",".214",".280",".466",".315","79","2.1","-5.7","6.0","1.0","744"
"Bobby Kielty","Athletics","116","433","10","55","57","3","11.5%","15.5%",".133",".295",".263",".350",".395",".330","103","0.3","2.1","-6.9","1.0","736"
"Willy Aybar","Dodgers","26","105","1","12","10","3","17.1%","10.5%",".128",".365",".326",".448",".453",".403","148","0.8","7.2","-0.8","1.0","2192"
"Juan Castro","Twins","97","292","5","27","33","0","3.1%","13.4%",".129",".283",".257",".279",".386",".286","72","-1.3","-11.3","11.1","1.0","315"
"John McDonald","- - -","68","184","0","18","16","6","6.0%","13.0%",".048",".319",".277",".326",".325",".293","75","-0.5","-6.1","9.4","1.0","395"
"Antonio Perez","Dodgers","98","287","3","28","23","11","7.3%","21.3%",".100",".378",".297",".360",".398",".336","104","1.6","2.9","-3.0","0.9","1708"
"Dontrelle Willis","Marlins","40","101","1","14","11","0","3.0%","12.9%",".076",".291",".261",".289",".337",".276","66","0.0","-4.4","10.3","0.9","1703"
"Mike Piazza","Mets","113","442","19","41","62","0","9.3%","15.2%",".201",".260",".251",".326",".452",".334","103","-3.3","-1.7","-3.6","0.9","893"
"Sal Fasano","Orioles","64","174","11","25","20","0","5.2%","23.6%",".225",".269",".250",".310",".475",".339","108","1.1","2.8","0.2","0.9","1205"
"Ben Broussard","Indians","142","505","19","59","68","2","6.3%","19.4%",".208",".284",".255",".307",".464",".327","101","0.9","1.5","-9.7","0.9","312"
"Jose Molina","Angels","75","203","6","14","25","2","6.4%","20.2%",".120",".263",".228",".286",".348",".282","71","-1.4","-8.6","10.6","0.9","25"
"John Buck","Royals","118","430","12","40","47","2","5.3%","21.9%",".147",".286",".242",".287",".389",".293","73","-0.2","-14.2","8.4","0.9","2041"
"Alex Rios","Blue Jays","146","519","10","71","59","14","5.4%","19.5%",".135",".309",".262",".306",".397",".306","82","1.2","-10.0","1.1","0.9","2090"
"Livan Hernandez","Nationals","35","97","2","7","7","0","0.0%","8.2%",".122",".250",".244",".253",".366",".267","61","0.0","-4.8","9.9","0.8","1116"
"Orlando Palmeiro","Astros","114","231","3","22","20","3","6.5%","10.0%",".147",".304",".284",".341",".431",".335","102","1.8","2.3","-1.9","0.8","28"
"Nick Punto","Twins","112","439","4","45","26","13","8.2%","19.6%",".096",".294",".239",".301",".335",".284","70","1.4","-14.4","7.4","0.8","1429"
"Hector Luna","Cardinals","64","153","1","26","18","10","5.9%","16.3%",".124",".339",".285",".344",".409",".332","101","2.0","2.3","0.4","0.8","1874"
"Xavier Nady","Padres","124","356","13","40","43","2","6.2%","18.8%",".178",".293",".261",".321",".439",".331","106","-0.4","2.4","-6.3","0.8","1658"
"Noah Lowry","Giants","34","75","0","6","7","0","4.0%","16.0%",".102",".333",".271",".302",".373",".294","74","0.0","-2.4","7.6","0.8","1833"
"Jose Cruz","- - -","115","437","18","46","50","0","15.1%","23.1%",".222",".298",".251",".364",".473",".363","118","-2.1","7.6","-14.3","0.8","1296"
"Jeremy Hermida","Marlins","23","47","4","9","11","2","12.8%","25.5%",".341",".320",".293",".383",".634",".422","162","0.2","3.8","2.1","0.8","7208"
"Alex Cora","- - -","96","273","3","25","24","7","4.0%","11.0%",".100",".250",".232",".275",".332",".268","59","1.1","-12.7","11.0","0.7","1386"
"Wes Helms","Brewers","95","188","4","18","24","0","7.4%","16.0%",".161",".336",".298",".356",".458",".353","113","-1.8","1.2","0.1","0.7","94"
"Jason Repko","Dodgers","129","301","8","43","30","5","5.3%","26.6%",".163",".282",".221",".281",".384",".290","74","3.9","-6.1","3.7","0.7","2628"
"Mark Loretta","Padres","105","463","3","54","38","8","9.7%","7.3%",".067",".296",".280",".360",".347",".318","98","-7.2","-8.5","0.6","0.7","1383"
"J.T. Snow","Giants","117","410","4","40","40","1","7.8%","14.9%",".090",".319",".275",".343",".365",".317","89","1.2","-4.3","-1.9","0.7","1133"
"Ricky Ledee","Dodgers","102","266","7","31","39","0","7.5%","20.7%",".165",".326",".278",".335",".443",".335","103","1.8","2.7","-4.3","0.7","1407"
"Jeff Fiorentino","Orioles","13","47","1","7","5","1","4.3%","21.3%",".114",".294",".250",".277",".364",".278","66","1.4","-0.6","6.1","0.7","8024"
"Marlon Anderson","Mets","123","260","7","31","19","6","6.9%","17.3%",".128",".297",".264",".316",".391",".311","88","1.1","-2.8","1.4","0.7","947"
"Dioner Navarro","Dodgers","50","199","3","21","14","0","10.1%","10.6%",".102",".296",".273",".354",".375",".326","97","-1.4","-2.1","2.7","0.7","3179"
"Mark DeRosa","Rangers","66","166","8","26","20","1","9.6%","21.1%",".196",".267",".243",".325",".439",".335","100","-1.5","-1.5","2.9","0.7","1392"
"Russ Adams","Blue Jays","139","545","8","68","63","11","9.2%","10.5%",".127",".271",".256",".325",".383",".311","86","6.0","-3.5","-8.0","0.7","4519"
"Neifi Perez","Cubs","154","609","9","59","54","8","3.0%","7.7%",".108",".285",".274",".298",".383",".295","72","-2.2","-23.3","10.3","0.7","620"
"Preston Wilson","- - -","139","576","25","73","90","6","7.8%","25.7%",".208",".314",".260",".325",".467",".343","103","-4.5","-2.2","-9.8","0.7","545"
"Mike Redmond","Twins","45","159","1","17","26","0","3.8%","8.8%",".081",".338",".311",".350",".392",".330","101","-4.1","-3.8","5.2","0.7","538"
"Jorge Piedra","Rockies","61","124","6","19","16","2","8.1%","12.1%",".250",".315",".313",".371",".563",".397","133","0.6","5.7","-3.1","0.7","2211"
"Barry Bonds","Giants","14","52","5","8","10","0","17.3%","11.5%",".381",".219",".286",".404",".667",".426","162","0.2","4.2","0.6","0.7","1109"
"Ryan Zimmerman","Nationals","20","62","0","6","6","0","4.8%","19.4%",".172",".489",".397",".419",".569",".423","163","0.4","5.3","-0.8","0.7","4220"
"Damion Easley","Marlins","102","304","9","37","30","4","8.6%","15.5%",".180",".256",".240",".312",".419",".315","91","1.6","-1.8","-1.9","0.6","464"
"Kevin Youkilis","Red Sox","44","95","1","11","9","0","14.7%","20.0%",".127",".356",".278",".400",".405",".364","120","0.5","2.9","0.1","0.6","1935"
"Mark Bellhorn","- - -","94","355","8","43","30","3","14.6%","31.5%",".147",".301",".210",".324",".357",".306","81","1.7","-6.5","0.5","0.6","264"
"Ryan Doumit","Pirates","75","257","6","25","35","2","4.3%","18.7%",".143",".298",".255",".324",".398",".319","92","-1.6","-4.3","1.9","0.6","2113"
"Henry Blanco","Cubs","54","178","6","16","25","0","6.2%","13.5%",".149",".248",".242",".287",".391",".293","71","-1.0","-7.5","7.6","0.6","81"
"Dallas McPherson","Angels","61","220","8","29","26","3","6.4%","29.1%",".205",".316",".244",".295",".449",".321","97","-3.3","-4.2","2.7","0.6","2194"
"Matthew LeCroy","Twins","101","350","17","33","50","0","11.7%","24.3%",".184",".305",".260",".354",".444",".349","115","-3.1","3.2","-9.1","0.6","1456"
"Cory Sullivan","Rockies","139","424","4","64","30","12","6.6%","19.6%",".093",".361",".294",".343",".386",".322","83","3.0","-6.0","-1.9","0.6","1940"
"Chris Woodward","Mets","81","192","3","16","18","0","6.8%","24.0%",".110",".365",".283",".337",".393",".322","95","1.3","0.2","-0.6","0.6","1329"
"Eric Bruntlett","Astros","91","121","4","19","14","7","8.3%","20.7%",".193",".250",".220",".292",".413",".307","83","0.9","-1.6","3.5","0.6","1753"
"Jamey Carroll","Nationals","113","358","0","44","22","3","9.5%","15.4%",".033",".303",".251",".333",".284",".285","72","3.1","-9.4","3.4","0.6","1591"
"Brad Ausmus","Astros","134","451","3","35","47","5","11.3%","10.6%",".072",".288",".258",".351",".331",".305","82","-6.1","-16.2","7.1","0.6","546"
"David Ross","- - -","51","138","3","11","15","0","4.3%","20.3%",".152",".278",".240",".279",".392",".289","74","1.1","-3.5","4.6","0.6","1551"
"Eric Byrnes","- - -","126","456","10","49","40","7","7.0%","15.6%",".146",".250",".226",".294",".371",".294","76","4.3","-8.9","-0.8","0.6","905"
"Olmedo Saenz","Dodgers","109","352","15","39","63","0","7.7%","17.9%",".216",".284",".263",".325",".480",".345","110","-4.3","0.0","-6.2","0.5","937"
"Ryan Shealy","Rockies","36","104","2","14","16","1","12.5%","21.2%",".143",".418",".330",".413",".473",".391","128","-1.2","2.5","-0.6","0.5","4443"
"Geoff Blum","- - -","109","351","6","32","25","3","8.0%","12.3%",".116",".247",".229",".296",".345",".286","74","-0.6","-11.6","5.3","0.5","550"
"Brian McCann","Braves","59","204","5","20","23","1","8.8%","12.7%",".122",".300",".278",".345",".400",".321","93","-2.6","-4.3","2.9","0.5","4810"
"Eduardo Perez","Devil Rays","77","190","11","23","28","0","13.7%","15.8%",".242",".250",".255",".368",".497",".376","134","-2.8","5.1","-6.4","0.5","1409"
"Marlon Byrd","- - -","79","259","2","20","26","5","7.3%","19.3%",".109",".326",".266",".323",".376",".306","86","-1.9","-6.5","3.1","0.5","950"
"Brian Jordan","Braves","76","251","3","25","24","2","5.6%","18.3%",".091",".292",".247",".295",".338",".281","67","1.6","-8.9","5.7","0.5","658"
"Yuniesky Betancourt","Mariners","60","228","1","24","15","1","4.8%","10.5%",".114",".282",".256",".296",".370",".291","78","0.5","-5.6","2.9","0.5","8585"
"Kevin Millar","Red Sox","134","519","9","57","50","0","10.4%","14.3%",".127",".302",".272",".355",".399",".334","100","-5.9","-5.9","-6.6","0.5","529"
"Julio Franco","Braves","108","265","9","30","42","4","10.2%","21.5%",".176",".324",".275",".348",".451",".347","110","-1.4","2.0","-5.6","0.5","87"
"Todd Pratt","Phillies","60","196","7","17","23","0","9.7%","25.5%",".143",".314",".251",".332",".394",".313","85","-2.4","-6.2","4.7","0.5","968"
"Brandon Backe","Astros","28","53","0","5","6","1","5.7%","22.6%",".133",".303",".222",".271",".356",".273","61","0.2","-2.4","5.4","0.5","1529"
"Javier Vazquez","Diamondbacks","33","72","1","2","2","0","4.2%","13.9%",".063",".269",".238",".273",".302",".257","45","0.0","-5.0","7.3","0.5","801"
"Mike Hampton","Braves","12","29","1","4","1","0","0.0%","31.0%",".160",".467",".320",".346",".480",".359","119","0.0","0.7","2.9","0.5","430"
"Willie Harris","White Sox","56","139","1","17","8","10","9.4%","18.0%",".058",".316",".256",".333",".314",".296","76","1.9","-2.3","2.1","0.5","236"
"Gabe Kapler","Red Sox","36","104","1","15","9","1","2.9%","14.4%",".103",".280",".247",".282",".351",".278","62","0.2","-4.7","5.6","0.4","1256"
"Jason Ellison","Giants","131","386","4","49","24","14","6.2%","11.4%",".097",".292",".264",".316",".361",".300","78","0.0","-10.6","2.4","0.4","1704"
"Doug Mirabelli","Red Sox","50","152","6","16","18","2","9.2%","31.6%",".184",".305",".228",".309",".412",".317","89","0.3","-1.9","1.1","0.4","202"
"Rene Rivera","Mariners","16","50","1","3","6","0","2.0%","22.0%",".125",".500",".396",".408",".521",".405","155","-1.7","1.6","1.0","0.4","3648"
"Nate McLouth","Pirates","41","120","5","20","12","2","2.5%","16.7%",".193",".271",".257",".305",".450",".326","97","1.9","1.4","-1.0","0.4","3190"
"Roger Clemens","Astros","32","69","0","2","4","0","7.2%","26.1%",".034",".300",".207",".281",".241",".245","42","0.0","-5.0","7.0","0.4","815"
"Sean Burroughs","Padres","93","317","1","20","17","4","7.6%","12.9%",".049",".288",".250",".318",".299",".277","71","0.1","-11.4","5.3","0.4","1021"
"John Rodriguez","Cardinals","56","176","5","15","24","2","10.8%","25.6%",".141",".386",".295",".382",".436",".353","116","0.6","4.1","-5.6","0.4","2338"
"Jason Tyner","Twins","18","60","0","8","5","2","6.7%","6.7%",".054",".346",".321",".367",".375",".331","103","0.2","0.4","1.8","0.4","1232"
"Luke Hudson","Reds","21","29","0","7","3","0","6.9%","31.0%",".080",".500",".320",".370",".400",".343","105","0.0","0.2","2.9","0.4","1542"
"Ben Johnson","Padres","31","88","3","10","13","0","12.5%","26.1%",".253",".260",".213",".310",".467",".328","105","-1.5","-0.9","2.1","0.4","2731"
"Jeff Suppan","Cardinals","32","67","1","5","5","0","4.5%","13.4%",".086",".229",".207",".246",".293",".240","41","0.0","-5.0","6.8","0.4","633"
"Frank Thomas","White Sox","34","124","12","19","26","0","12.9%","25.0%",".371",".169",".219",".315",".590",".374","128","-1.4","2.8","-3.0","0.4","255"
"Casey Kotchman","Angels","47","143","7","16","22","1","10.5%","12.6%",".206",".275",".278",".352",".484",".362","125","-0.2","4.2","-5.0","0.4","1930"
"Chris Snelling","Mariners","15","35","1","4","1","0","14.3%","5.7%",".172",".269",".276",".382",".448",".367","130","-0.6","0.7","2.0","0.4","1480"
"Jeff Weaver","Dodgers","39","78","0","6","7","0","2.6%","24.4%",".029",".314",".229",".250",".257",".227","32","0.0","-6.7","7.9","0.4","503"
"Frank Menechino","Blue Jays","70","180","4","22","13","0","13.9%","18.3%",".128",".252",".216",".352",".345",".321","93","-0.3","-1.9","-0.4","0.4","931"
"Willie Bloomquist","Mariners","82","267","0","27","22","14","4.1%","14.2%",".076",".300",".257",".289",".333",".275","67","3.9","-6.8","1.6","0.4","1066"
"Humberto Cota","Pirates","93","320","7","29","43","0","5.3%","25.0%",".145",".305",".242",".285",".387",".290","73","0.4","-10.5","3.8","0.4","1595"
"John Olerud","Red Sox","87","192","7","18","37","0","8.3%","10.4%",".162",".289",".289",".344",".451",".341","105","-2.9","-1.8","-1.0","0.4","1093"
"Angel Berroa","Royals","159","652","11","68","55","7","2.8%","16.6%",".105",".312",".270",".305",".375",".298","76","3.1","-15.7","-2.6","0.4","591"
"Jacob Cruz","Reds","110","145","4","12","18","0","11.0%","31.7%",".173",".333",".236",".324",".409",".320","90","-0.4","-2.2","1.2","0.4","463"
"Terrence Long","Royals","137","489","6","62","53","3","6.1%","11.5%",".099",".305",".279",".321",".378",".308","83","1.2","-8.8","-4.2","0.4","927"
"Josh Beckett","Marlins","29","71","1","5","6","0","9.9%","23.9%",".102",".190",".153",".239",".254",".226","33","0.0","-6.0","7.2","0.4","510"
"Yorvit Torrealba","- - -","76","224","3","32","15","1","7.1%","22.3%",".104",".297",".234",".297",".338",".282","70","0.9","-7.5","3.5","0.3","1135"
"Brad Hennessey","Giants","21","41","2","3","5","0","0.0%","29.3%",".179",".280",".231",".231",".410",".272","60","0.0","-2.1","4.2","0.3","3720"
"Pete Orr","Braves","112","162","1","32","8","7","3.7%","14.2%",".087",".349",".300",".331",".387",".317","91","2.9","1.0","-2.9","0.3","2748"
"David Bell","Phillies","150","617","10","53","61","0","7.6%","11.2%",".113",".266",".248",".310",".361",".294","72","-6.3","-28.0","11.2","0.3","1108"
"Jason Vargas","Marlins","18","27","0","3","2","0","3.7%","25.9%",".077",".421",".308",".333",".385",".317","92","0.0","-0.3","2.7","0.3","8044"
"Nomar Garciaparra","Cubs","62","247","9","28","30","0","4.9%","9.7%",".170",".280",".283",".320",".452",".333","97","0.7","-0.1","-4.6","0.3","190"
"Glenn Williams","Twins","13","43","0","3","3","1","4.7%","16.3%",".025",".515",".425",".452",".450",".402","151","-0.7","2.0","-0.1","0.3","1991"
"Alex Gonzalez","Marlins","130","478","5","45","45","5","6.5%","16.9%",".103",".313",".264",".319",".368",".296","79","-3.5","-16.4","4.1","0.3","520"
"Laynce Nix","Rangers","63","240","6","28","32","2","3.8%","18.8%",".157",".272",".240",".267",".397",".280","62","3.0","-8.0","3.1","0.3","1766"
"Jake Peavy","Padres","30","63","0","5","2","0","6.3%","25.4%",".019",".270",".189",".259",".208",".221","34","0.0","-5.2","6.4","0.3","1051"
"Robert Fick","Padres","93","260","3","25","30","0","10.0%","12.7%",".100",".296",".265",".340",".365",".312","94","-0.9","-2.8","-2.5","0.3","466"
"Kris Benson","Mets","28","61","0","4","6","0","8.2%","36.1%",".020",".333",".184",".273",".204",".229","34","0.0","-5.1","6.2","0.3","982"
"Horacio Ramirez","Braves","34","77","0","4","2","0","1.3%","22.1%",".041",".286",".219",".230",".260",".217","25","0.0","-7.3","7.8","0.3","110"
"Mark Prior","Cubs","27","56","0","5","3","0","3.6%","25.0%",".042",".324",".229",".260",".271",".238","35","0.0","-4.6","5.7","0.3","301"
"Felix Escalona","Yankees","10","17","0","0","2","0","5.9%","23.5%",".071",".400",".286",".375",".357",".335","105","-0.2","-0.1","2.4","0.3","1204"
"Eric Young","Padres","56","163","2","22","12","7","11.0%","7.4%",".106",".289",".275",".356",".380",".330","106","-0.9","0.4","-2.9","0.3","716"
"Paul Bako","Dodgers","13","47","0","1","4","0","14.9%","25.5%",".050",".357",".250",".362",".300",".301","81","-0.5","-1.7","2.9","0.3","676"
"Carlos Pena","Tigers","79","295","18","37","44","0","10.5%","32.2%",".242",".293",".235",".325",".477",".345","113","-1.0","3.6","-10.9","0.3","934"
"Rick Short","Nationals","11","17","2","4","4","0","5.9%","5.9%",".533",".333",".400",".471",".933",".574","263","0.3","3.8","-1.6","0.3","2263"
"Maicer Izturis","Angels","77","210","1","18","15","9","8.1%","10.0%",".099",".271",".246",".306",".346",".286","73","0.4","-6.5","2.1","0.3","2437"
"Lenny Harris","Marlins","83","78","1","5","13","0","9.0%","14.1%",".100",".362",".314",".385",".414",".352","116","-0.7","0.9","-0.8","0.3","1394"
"Jeff DaVanon","Angels","108","271","2","42","15","11","14.4%","16.2%",".080",".276",".231",".347",".311",".303","85","1.6","-3.3","-3.3","0.3","1440"
"Chris Singleton","Devil Rays","28","68","0","9","11","0","8.8%","20.6%",".085",".356",".271",".348",".356",".318","95","1.0","0.5","-0.3","0.3","170"
"Richard Hidalgo","Rangers","88","339","16","43","43","1","7.7%","21.8%",".195",".237",".221",".289",".416",".306","80","-0.2","-8.5","-0.5","0.2","561"
"Edwin Encarnacion","Reds","69","234","9","25","31","3","8.5%","25.6%",".204",".282",".232",".308",".436",".321","91","-2.4","-5.1","-0.1","0.2","2151"
"Chris Denorfia","Reds","18","44","1","8","2","1","13.6%","20.5%",".158",".321",".263",".364",".421",".348","109","0.6","1.1","-0.1","0.2","4400"
"Jacque Jones","Twins","142","585","23","74","73","13","8.7%","20.5%",".189",".279",".249",".319",".438",".321","96","-0.7","-3.8","-13.6","0.2","735"
"Ramon Nivar","Orioles","7","15","0","1","1","0","0.0%","13.3%",".000",".364",".308",".357",".308",".307","86","-0.1","-0.4","2.2","0.2","1781"
"Aaron Boone","Indians","143","565","16","61","60","9","6.2%","16.3%",".135",".264",".243",".299",".378",".296","80","-0.7","-14.7","-2.0","0.2","311"
"Randy Keisler","Reds","24","15","1","3","2","0","0.0%","26.7%",".333",".300",".267",".267",".600",".361","117","0.0","0.3","1.5","0.2","830"
"Jose Lopez","Mariners","54","203","2","18","25","4","3.0%","12.3%",".132",".273",".247",".282",".379",".288","76","-1.0","-7.0","2.3","0.2","3114"
"John Thomson","Braves","17","36","0","2","2","0","5.6%","33.3%",".080",".385",".200",".259",".280",".244","43","0.0","-2.6","3.7","0.2","453"
"Lance Niekro","Giants","113","302","12","32","46","0","5.6%","17.5%",".209",".266",".252",".295",".460",".322","92","-3.1","-6.0","-1.8","0.2","1832"
"Tino Martinez","Yankees","131","348","17","43","49","2","10.9%","15.5%",".198",".237",".241",".328",".439",".331","103","-4.8","-3.6","-6.1","0.2","1168"
"Russ Ortiz","Diamondbacks","24","43","0","1","1","0","7.0%","20.9%",".029",".280",".206",".270",".235",".235","31","0.0","-3.8","4.4","0.2","1124"
"Jamal Strong","Mariners","16","24","0","6","2","0","8.3%","25.0%",".100",".333",".250",".333",".350",".303","86","0.7","0.3","0.8","0.2","1820"
"Wiki Gonzalez","Mariners","14","47","0","7","2","0","4.3%","6.4%",".111",".286",".267",".298",".378",".296","81","-0.6","-1.7","2.0","0.2","1033"
"Choo Freeman","Rockies","18","22","0","6","0","0","0.0%","22.7%",".136",".353",".273",".273",".409",".290","62","0.2","-0.8","1.9","0.2","1872"
"Sergio Mitre","Cubs","21","12","0","2","1","0","0.0%","8.3%",".091",".400",".364",".364",".455",".357","113","0.0","0.2","1.2","0.2","1773"
"A.J. Burnett","Marlins","32","79","1","3","2","0","1.3%","43.0%",".132",".273",".147",".171",".279",".194","11","0.0","-8.8","8.0","0.2","512"
"Aubrey Huff","Devil Rays","154","636","22","70","92","8","7.7%","13.8%",".167",".271",".261",".321",".428",".318","94","1.0","-3.5","-16.2","0.2","1213"
"Adam Melhuse","Athletics","39","102","2","11","12","0","4.9%","27.5%",".134",".328",".247",".284",".381",".291","77","0.7","-2.2","0.5","0.2","294"
"Vicente Padilla","Phillies","27","51","0","2","4","0","9.8%","47.1%",".073",".353",".146",".239",".220",".215","20","0.0","-5.1","5.2","0.2","964"
"Tom Glavine","Mets","33","71","0","2","3","0","2.8%","18.3%",".000",".255",".203",".227",".203",".197","12","0.0","-7.8","7.2","0.2","90"
"Robinson Cano","Yankees","132","551","14","78","62","1","2.9%","12.3%",".161",".318",".297",".320",".458",".334","105","-0.7","2.7","-19.7","0.2","3269"
"Hank Blalock","Rangers","161","705","25","80","92","1","7.2%","18.7%",".168",".294",".263",".318",".431",".325","93","-3.9","-9.7","-12.6","0.2","1419"
"Ronny Cedeno","Cubs","41","89","1","13","6","1","5.6%","12.4%",".075",".338",".300",".356",".375",".324","91","1.2","0.2","-1.6","0.2","2179"
