"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jeff Branson","Dodgers","18","18","0","3","0","0","5.6%","33.3%",".059",".364",".235",".278",".294",".259","51","0.0","-1.2","-0.8","-0.1","1001355"
"Ron Coomer","Twins","140","589","16","64","82","2","6.1%","8.5%",".145",".271",".270",".317",".415",".319","81","0.5","-14.8","-8.0","-0.1","816"
"Harold Baines","- - -","96","320","11","26","39","0","11.3%","15.6%",".163",".274",".254",".338",".417",".325","89","0.0","-4.7","-8.4","-0.1","1000434"
"Gookie Dawkins","Reds","14","44","0","5","3","0","4.5%","15.9%",".049",".265",".220",".256",".268",".226","21","0.0","-4.7","1.5","-0.1","316"
"Matt Walbeck","Angels","47","155","6","17","12","0","4.5%","14.2%",".158",".195",".199",".240",".356",".259","44","-0.4","-12.2","4.8","-0.2","501"
"Ben Davis","Padres","43","148","3","12","14","1","9.5%","23.6%",".115",".280",".223",".297",".338",".283","67","-0.2","-7.0","0.5","-0.2","1074"
"Todd Van Poppel","Cubs","51","11","0","0","0","0","0.0%","36.4%",".000",".000",".000",".000",".000",".000","-100","0.0","-3.3","1.3","-0.2","1284"
"Gary Matthews Jr.","Cubs","80","175","4","24","14","3","8.6%","16.0%",".108",".206",".190",".264",".297",".253","42","0.6","-13.3","5.2","-0.2","153"
"Matt Franco","Mets","101","157","2","9","14","0","13.4%","14.0%",".075",".270",".239",".340",".313",".296","72","0.0","-6.0","-1.1","-0.2","1499"
"Steve Woodard","Brewers","27","26","0","0","2","0","3.8%","23.1%",".000",".063",".045",".125",".045",".099","-58","0.0","-5.6","3.0","-0.2","1285"
"John Snyder","Brewers","24","42","0","1","0","0","4.8%","16.7%",".026",".097",".079",".146",".105",".128","-40","0.0","-8.0","4.8","-0.2","1012253"
"Chris Turner","Yankees","37","102","1","9","7","0","9.8%","20.6%",".067",".299",".236",".320",".303",".290","66","-0.4","-5.2","-0.1","-0.2","1013226"
"Andy Benes","Cardinals","30","60","1","1","1","0","6.7%","31.7%",".060",".100",".080",".148",".140",".140","-32","0.0","-10.7","6.9","-0.2","1144"
"Trace Coquillette","Expos","34","67","1","6","8","0","10.4%","28.4%",".119",".275",".203",".284",".322",".273","53","0.0","-4.3","0.2","-0.2","1002606"
"Scott Downs","- - -","19","34","0","2","1","0","5.9%","29.4%",".000",".111",".071",".133",".071",".108","-49","0.0","-7.0","3.9","-0.2","773"
"Jay Canizaro","Twins","102","371","7","43","40","4","6.5%","15.4%",".127",".305",".269",".318",".396",".315","79","-0.1","-10.9","-4.0","-0.2","722"
"Jimmy Haynes","Brewers","33","70","0","3","4","0","1.4%","42.9%",".063",".235",".125",".138",".188",".143","-30","0.0","-12.4","8.1","-0.2","329"
"Jeremy Giambi","Athletics","104","302","10","42","50","0","10.6%","20.2%",".169",".290",".254",".338",".423",".332","93","0.0","-2.7","-9.8","-0.2","913"
"Eddie Perez","Braves","7","22","0","0","3","0","0.0%","9.1%",".045",".200",".182",".182",".227",".179","-6","0.0","-3.2","0.5","-0.2","400"
"Mike Metcalfe","Dodgers","4","13","0","0","0","0","7.7%","15.4%",".000",".100",".083",".154",".083",".125","-35","0.0","-2.4","0.0","-0.2","1008804"
"Pat Meares","Pirates","132","514","13","55","47","1","7.0%","17.7%",".141",".271",".240",".305",".381",".298","69","0.3","-21.7","2.5","-0.2","1008712"
"Jimmy Anderson","Pirates","27","54","0","5","1","0","0.0%","20.4%",".020",".179",".140",".140",".160",".133","-37","0.0","-10.1","6.2","-0.2","977"
"Jose Ortiz","Athletics","7","13","0","4","1","0","15.4%","23.1%",".000",".250",".182",".308",".182",".250","41","0.0","-1.0","-1.4","-0.2","442"
"Ed Sprague","- - -","106","298","12","30","36","0","8.4%","19.5%",".194",".265",".243",".312",".437",".322","89","0.0","-4.4","-7.6","-0.2","1012356"
"Greg Myers","Orioles","43","134","3","9","12","0","6.0%","21.6%",".120",".269",".224",".271",".344",".272","56","0.0","-8.0","1.0","-0.2","933"
"Joe McEwing","Mets","87","169","2","20","19","3","3.0%","17.2%",".144",".258",".222",".248",".366",".264","52","0.2","-11.0","2.8","-0.2","887"
"Charlie O'Brien","Expos","9","21","1","1","2","0","9.5%","33.3%",".211",".273",".211",".286",".421",".286","61","0.0","-1.1","-1.6","-0.2","1009685"
"Chris Holt","Astros","34","70","0","3","3","0","5.7%","47.1%",".017",".222",".100",".169",".117",".144","-33","0.0","-12.6","8.1","-0.2","1005983"
"Tony McKnight","Astros","6","14","0","1","0","0","0.0%","42.9%",".000",".000",".000",".000",".000",".000","-100","0.0","-4.3","1.6","-0.2","1008602"
"Tripp Cromer","Astros","9","10","0","2","0","0","10.0%","10.0%",".000",".143",".125",".222",".125",".180","-10","0.0","-1.5","-1.0","-0.2","1719"
"Bill Selby","Indians","30","48","0","8","4","0","2.1%","18.8%",".022",".297",".239",".271",".261",".244","32","0.0","-4.4","0.4","-0.2","405"
"Rolando Arrojo","Rockies","19","32","0","2","3","0","3.1%","40.6%",".036",".200",".107",".138",".143",".130","-60","0.0","-7.0","3.7","-0.2","174"
"Steve Parris","Reds","35","62","0","4","4","0","3.2%","30.6%",".036",".189",".127",".155",".164",".145","-31","-0.5","-11.5","7.1","-0.2","1316"
"Ivan Cruz","Pirates","8","11","0","0","0","0","0.0%","72.7%",".000",".333",".091",".091",".091",".082","-70","0.0","-2.5","-0.1","-0.2","1596"
"John Mabry","- - -","96","244","8","35","32","0","6.1%","28.3%",".164",".300",".235",".287",".398",".299","75","-0.4","-8.6","-2.1","-0.2","1381"
"Gabe Alvarez","- - -","12","17","0","1","0","0","17.6%","11.8%",".071",".167",".143",".294",".214",".254","47","-0.5","-1.7","-1.1","-0.2","1000194"
"Lenny Harris","- - -","112","248","4","31","26","13","8.1%","8.9%",".121",".270",".260",".317",".381",".305","76","2.2","-6.0","-4.3","-0.2","1394"
"Kevin Millwood","Braves","36","75","0","1","2","0","2.7%","40.0%",".034",".241",".119",".148",".153",".138","-32","0.0","-13.5","8.6","-0.2","106"
"Aaron Ledesma","Rockies","32","43","0","4","3","0","4.7%","20.9%",".050",".290",".225",".279",".275",".255","20","0.0","-4.7","0.8","-0.2","1007444"
"Darren Lewis","Red Sox","97","303","2","44","17","10","7.3%","11.2%",".067",".269",".241",".305",".307",".281","58","-0.3","-17.7","4.0","-0.2","286"
"Kevin Jarvis","Rockies","25","40","0","4","0","0","5.0%","27.5%",".029",".130",".088",".162",".118",".142","-53","0.0","-8.3","4.6","-0.2","1037"
"Ivanon Coffie","Orioles","23","67","0","6","6","1","7.5%","16.4%",".100",".260",".217",".284",".317",".270","55","0.2","-3.9","-0.8","-0.2","1002390"
"Mike Thurman","Expos","17","32","0","3","0","0","6.3%","53.1%",".000",".143",".042",".115",".042",".090","-64","0.0","-7.1","3.7","-0.2","852"
"Dan Serafini","Pirates","11","27","0","1","2","0","0.0%","33.3%",".000",".133",".083",".083",".083",".075","-74","0.0","-6.4","3.1","-0.2","1812"
"Pedro Valdes","Rangers","30","60","1","4","5","0","10.0%","11.7%",".148",".304",".278",".350",".426",".343","94","0.0","-0.5","-3.8","-0.2","1013315"
"Daryle Ward","Astros","119","281","20","36","47","0","5.3%","21.7%",".280",".259",".258",".295",".538",".345","96","0.0","-1.5","-9.9","-0.2","579"
"Angel Echevarria","- - -","41","58","1","3","6","0","12.1%","19.0%",".098",".231",".196",".293",".294",".272","49","0.0","-4.0","-0.5","-0.2","1498"
"Jeff Abbott","White Sox","80","242","3","31","29","2","8.7%","15.7%",".121",".320",".274",".343",".395",".328","87","0.0","-4.2","-6.6","-0.2","1000011"
"Quinton McCracken","Devil Rays","15","37","0","5","2","0","16.2%","10.8%",".000",".148",".129",".270",".129",".214","15","-0.5","-4.7","0.8","-0.2","1377"
"Adam Melhuse","- - -","24","27","0","3","4","0","11.1%","22.2%",".083",".222",".167",".259",".250",".238","10","0.0","-3.3","-0.1","-0.2","294"
"McKay Christensen","White Sox","32","22","0","4","1","1","9.1%","27.3%",".000",".154",".105",".227",".105",".182","-7","-0.3","-3.4","0.1","-0.2","1421"
"Todd Greene","Blue Jays","34","90","5","11","10","0","5.6%","20.0%",".200",".242",".235",".278",".435",".306","73","0.0","-3.3","-2.5","-0.2","1450"
"Butch Huskey","- - -","109","356","9","40","45","1","11.5%","17.7%",".156",".295",".261",".346",".417",".334","84","-1.1","-8.6","-6.5","-0.2","1006228"
"Hanley Frias","Diamondbacks","75","129","2","18","6","2","13.2%","14.0%",".098",".228",".205",".310",".304",".285","59","-0.5","-7.7","0.8","-0.2","1004345"
