,WAR,Age
367,0.8,22
368,2.0,23
369,3.6,24
370,9.6,25
371,3.2,26
372,5.4,27
373,3.8,28
374,5.6,29
375,3.3,30
376,7.8,31
377,5.6,32
378,7.2,33
379,5.7,34
380,6.2,35
381,4.4,36
382,6.7,37
383,3.8,38
384,1.7,39
385,,
386,-0.9,23
387,0.3,24
388,-0.4,25
389,1.6,26
390,-0.1,27
391,-0.8,28
392,-0.1,29
393,-0.1,30
394,0.1,32
395,,
396,-0.1,22
397,-0.6,23
398,3.0,24
399,2.5,25
400,3.6,26
401,6.9,27
402,4.4,28
403,6.9,29
404,3.7,30
405,3.8,31
406,4.4,32
407,4.6,33
408,1.9,34
409,-1.0,35
410,-0.3,36
411,,
412,0.2,26
413,0.1,27
414,-0.1,28
415,,
416,2.2,28
417,3.1,29
418,1.3,30
419,-2.0,31
420,,
421,-0.1,21
422,0.8,22
423,-0.5,23
424,0.3,24
425,-0.2,25
426,0.0,26
427,1.4,27
428,1.4,28
429,5.7,29
430,5.2,30
431,1.0,31
432,6.8,32
433,2.3,33
434,4.3,34
435,2.6,35
436,2.9,36
437,3.0,37
438,4.7,38
439,-1.2000000000000002,39
440,,
441,-0.1,24
442,-0.3,26
443,-0.2,27
444,,
445,0.7,22
446,1.2,23
447,2.0,24
448,-1.0,25
449,,
450,0.0,22
451,-0.1,23
452,2.5,24
453,2.0,25
454,4.7,26
455,5.7,27
456,7.0,28
457,5.7,29
458,1.5,30
459,7.1,31
460,3.4,32
461,0.6,33
462,,
463,6.6,21
464,5.5,22
465,8.7,23
466,8.5,24
467,8.4,25
468,8.5,26
469,8.7,27
470,9.2,28
471,9.7,29
472,7.5,30
473,5.3,31
474,4.8,32
475,1.6,33
476,3.9,34
477,3.0,35
478,1.5,36
479,-1.9,37
480,0.8,38
481,0.5,39
482,,
483,-0.1,23
484,-1.2,24
485,1.2,25
486,2.5,26
487,1.6,27
488,3.5,28
489,3.4,29
490,0.7,30
491,-1.0,31
492,-0.8,32
493,,
494,-0.1,21
495,0.8,22
496,2.2,23
497,2.2,24
498,0.6,25
499,1.3,26
500,0.7,27
501,2.0,28
502,0.1,29
503,1.2,30
504,-0.8999999999999999,31
505,1.6,32
506,-0.5,33
507,,
508,,
509,-0.4,22
510,0.6,24
511,1.0,25
512,0.4,27
513,,
514,-0.5,23
515,-0.4,24
516,0.0,25
517,-0.1,26
518,0.0,27
519,-0.6,28
520,-0.7,29
521,-0.5,30
522,,
523,,
524,-0.3,30
525,,
526,-0.3,23
527,-0.4,24
528,0.7,25
529,-0.5,26
530,,
531,0.3,24
532,-0.2,25
533,-0.3,26
534,0.8,27
535,1.4,28
536,-0.2,29
537,0.6,30
538,0.2,31
539,-0.6,32
540,0.1,33
541,-0.1,34
542,,
543,0.6,22
544,0.1,23
545,5.1,24
546,2.2,25
547,0.6,26
548,2.1,27
549,0.0,28
550,1.0,29
551,2.7,30
552,0.1,31
553,1.4,32
554,,
555,0.0,25
556,0.1,26
557,,
558,2.0,22
559,4.0,23
560,7.3,24
561,9.1,25
562,,
563,0.0,32
564,,
565,0.0,22
566,-0.2,23
567,2.7,24
568,-0.2,25
569,-0.2,26
570,-1.0,27
571,-1.5,28
572,-1.2,29
573,-0.6,30
574,,
575,-0.1,22
576,-0.5,23
577,0.2,24
578,-0.5,25
579,3.0,26
580,0.3,27
581,1.5,28
582,1.6,29
583,0.3,30
584,0.6,31
585,0.8,32
586,0.6,33
587,-0.8,34
588,-0.1,35
589,,
590,-0.1,25
591,1.0,26
592,0.7,29
593,,
594,0.8,20
595,0.5,21
596,0.4,22
597,5.4,23
598,3.0,24
599,3.8,25
600,6.4,26
601,4.1,27
602,3.3,29
603,0.7,30
604,,
605,-0.1,21
606,0.8,22
607,2.2,23
608,2.2,24
609,0.6,25
610,1.3,26
611,0.7,27
612,2.0,28
613,0.1,29
614,1.2,30
615,-0.8999999999999999,31
616,1.6,32
617,-0.5,33
618,,
619,2.0,23
620,2.8,24
621,0.3,25
622,-0.5,26
623,7.3,27
624,6.3,28
