"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Gary Majewski","Nationals","4","4","1","79","0","86.0","5.23","3.87","0.21",".279","75.9%","45.8%","2.2%","2.93","3.69","4.88","0.7","2131"
"Ron Villone","- - -","5","5","1","79","0","64.0","9.84","4.92","0.56",".310","69.6%","43.5%","6.9%","4.08","3.61","4.05","0.7","1010"
"Jason Isringhausen","Cardinals","1","2","39","63","0","59.0","7.78","4.12","0.61",".241","87.2%","50.9%","8.5%","2.14","3.60","3.81","0.7","1158"
"Jason Marquis","Cardinals","13","14","0","33","32","207.0","4.35","3.00","1.26",".266","71.0%","51.3%","13.6%","4.13","4.95","4.55","0.7","105"
"Andy Sisco","Royals","2","5","0","67","0","75.1","9.08","5.02","0.72",".305","82.1%","41.3%","7.8%","3.11","3.79","4.16","0.7","3706"
"Kyle Davies","Braves","7","6","0","21","14","87.2","6.37","5.03","0.82",".318","70.9%","34.0%","6.9%","4.93","4.50","5.14","0.7","3642"
"Chad Qualls","Astros","6","4","0","77","0","79.2","6.78","2.60","0.79",".283","74.8%","58.3%","14.6%","3.28","3.75","3.44","0.7","2170"
"Heath Bell","Mets","1","3","0","42","0","46.2","8.29","2.51","0.58",".363","60.8%","44.8%","6.7%","5.59","2.91","3.41","0.7","2080"
"Tim Stauffer","Padres","3","6","0","15","14","81.0","5.44","3.22","1.11",".309","67.0%","41.3%","10.2%","5.33","4.56","4.63","0.7","6432"
"Ugueth Urbina","- - -","5","6","10","81","0","79.2","10.96","4.41","1.36",".243","78.3%","26.0%","11.3%","3.62","4.05","3.93","0.7","216"
"Matt Cain","Giants","2","1","0","7","7","46.1","5.83","3.69","0.78",".156","82.9%","29.5%","5.9%","2.33","4.08","4.98","0.7","4732"
"Randy Wolf","Phillies","6","4","0","13","13","80.0","6.86","2.93","1.58",".305","79.5%","35.2%","13.6%","4.39","4.97","4.47","0.7","976"
"David Weathers","Reds","7","4","15","73","0","77.2","7.07","3.36","0.81",".276","71.6%","50.2%","10.6%","3.94","3.82","3.82","0.7","902"
"Macay McBride","Braves","1","0","1","23","0","14.0","14.14","4.50","0.00",".462","56.0%","45.9%","0.0%","5.79","1.38","2.26","0.6","3475"
"Akinori Otsuka","Padres","2","8","1","66","0","62.2","8.62","4.88","0.43",".294","72.6%","47.4%","6.5%","3.59","3.45","3.84","0.6","1895"
"Paul Maholm","Pirates","3","1","0","6","6","41.1","5.66","3.70","0.44",".242","85.1%","55.4%","6.7%","2.18","3.84","4.21","0.6","8678"
"Guillermo Mota","Marlins","2","2","2","56","0","67.0","8.06","4.30","0.67",".308","65.9%","40.6%","6.3%","4.70","3.68","4.33","0.6","1467"
"Jamey Wright","Rockies","8","16","0","34","27","171.1","5.31","4.25","1.16",".318","66.9%","52.7%","14.3%","5.46","5.19","4.76","0.6","715"
"Doug Waechter","Devil Rays","5","12","0","29","25","157.0","4.99","2.18","1.66",".303","64.3%","38.2%","12.8%","5.62","5.10","4.69","0.6","1814"
"Claudio Vargas","- - -","9","9","0","25","23","132.1","6.46","3.20","1.70",".294","72.1%","35.2%","14.2%","5.24","5.26","4.64","0.6","1695"
"Blaine Boyer","Braves","4","2","0","43","0","37.2","7.88","4.06","0.24",".295","76.6%","47.6%","2.8%","3.11","3.13","4.10","0.6","2237"
