"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Mark Thompson","Cardinals","1","1","0","20","0","25.0","6.84","5.40","1.44",".267","57.7%","","","5.04","5.85","","-0.2","1013019"
"Marc Wilkins","Pirates","4","2","0","52","0","60.1","5.52","6.41","0.60",".267","70.8%","","","5.07","5.21","","-0.2","1013959"
"Jeff D'Amico","Royals","0","1","0","7","1","13.2","5.93","9.88","1.32",".378","64.1%","","","9.22","7.01","","-0.2","1002961"
"Manny Aybar","- - -","2","2","0","54","0","79.1","5.11","3.97","1.25",".246","72.2%","","","4.31","5.20","","-0.2","1107"
"John Parrish","Orioles","2","4","0","8","8","36.1","6.94","8.67","1.49",".309","65.1%","","","7.18","6.71","","-0.2","160"
"Bobby Witt","Indians","0","1","0","7","2","15.1","3.52","3.52","2.35",".393","73.9%","","","7.63","6.92","","-0.2","1014170"
"Heathcliff Slocumb","- - -","2","4","1","65","0","68.2","6.03","4.85","1.18",".280","68.5%","","","4.98","5.25","","-0.2","1012069"
"B.J. Ryan","Orioles","2","3","0","42","0","42.2","8.65","6.54","1.48",".254","66.4%","","","5.91","5.52","","-0.2","168"
"Jason Johnson","Orioles","1","10","0","25","13","107.2","6.60","5.10","1.76",".292","57.6%","","","7.02","6.01","","-0.2","147"
"Ricky Bottalico","Royals","9","6","16","62","0","72.2","6.94","5.08","1.49",".255","74.6%","","","4.83","5.51","","-0.2","948"
"Matt Whiteside","Padres","2","3","0","28","0","37.0","6.57","4.14","1.46",".241","69.7%","","","4.14","5.24","","-0.2","1956"
"Alan Benes","Cardinals","2","2","0","30","0","46.0","5.09","4.50","1.37",".301","66.5%","","","5.67","5.61","","-0.2","265"
"Ed Vosberg","Phillies","1","1","0","31","0","24.0","8.63","6.75","1.50",".279","83.8%","","","4.13","5.63","","-0.2","1426"
"Mike Mohler","- - -","1","2","0","24","0","20.0","4.50","6.75","0.90",".342","55.8%","","","9.00","5.98","","-0.2","1009033"
"Brian O'Connor","Pirates","0","0","0","6","1","12.1","5.11","8.03","1.46",".244","61.3%","","","5.11","7.03","","-0.2","1009709"
"Trever Miller","- - -","0","0","0","16","0","16.1","6.06","6.61","1.65",".387","51.6%","","","10.47","6.75","","-0.2","1672"
"Carlos Almanzar","Padres","4","5","0","62","0","69.2","7.23","3.23","1.55",".289","78.6%","","","4.39","5.01","","-0.2","308"
"Brian Boehringer","Padres","0","3","0","7","3","15.2","5.17","5.74","2.30",".275","58.0%","","","5.74","7.22","","-0.2","984"
"Darren Holmes","- - -","0","1","1","18","0","19.1","7.45","4.19","2.79",".443","50.5%","","","13.03","7.22","","-0.2","95"
"Andy Larkin","- - -","0","3","1","21","0","26.0","8.31","5.54","2.08",".358","63.4%","","","7.96","6.13","","-0.2","1007345"
"Jay Spurgeon","Orioles","1","1","0","7","4","24.0","4.13","5.63","1.88",".273","75.0%","","","6.00","7.05","","-0.2","1012369"
"Todd Erdos","- - -","0","0","2","36","0","54.2","5.60","4.61","1.15",".304","68.0%","","","5.93","5.48","","-0.2","1003804"
"Tony Fiore","Devil Rays","1","1","0","11","0","15.0","4.80","5.40","1.80",".346","57.6%","","","8.40","6.87","","-0.3","726"
"Giovanni Carrara","Rockies","0","1","0","8","0","13.1","10.13","7.43","3.38",".400","53.9%","","","12.83","8.46","","-0.3","643"
"Matt Perisho","Rangers","2","7","0","34","13","105.0","6.34","5.74","1.71",".333","60.8%","","","7.37","6.29","","-0.3","1423"
"Rich Loiselle","Pirates","2","3","0","40","0","42.1","6.80","6.38","1.06",".286","71.0%","","","5.10","5.50","","-0.3","1007711"
"Seth Etherton","Angels","5","1","0","11","11","60.1","4.77","3.28","2.39",".261","77.3%","","","5.52","6.66","","-0.3","322"
"Mike Maddux","Astros","2","2","0","21","0","27.1","5.60","3.95","1.98",".275","68.3%","","","6.26","6.28","","-0.3","1007951"
"Tim Wakefield","Red Sox","6","10","0","51","17","159.1","5.76","3.67","1.75",".276","67.5%","","","5.48","5.68","","-0.3","219"
"Brian Powell","Astros","2","1","0","9","5","31.1","4.02","3.73","2.30",".250","73.4%","","","5.74","6.90","","-0.3","490"
"Jason Green","Astros","1","1","0","14","0","17.2","9.68","10.19","1.53",".273","62.9%","","","6.62","6.76","","-0.3","1004998"
"Kyle Farnsworth","Cubs","2","9","1","46","5","77.0","8.65","5.84","1.64",".332","69.1%","","","6.43","5.68","","-0.3","278"
"Roy Halladay","Blue Jays","4","7","0","19","13","67.2","5.85","5.59","1.86",".377","48.7%","","","10.64","6.47","","-0.3","1303"
"Vicente Palacios","Padres","0","1","0","7","0","10.2","6.75","4.22","3.38",".276","61.4%","","","6.75","7.92","","-0.3","1009965"
"Everett Stull","Brewers","2","3","0","20","4","43.1","6.85","6.23","1.45",".272","69.0%","","","5.82","6.06","","-0.3","712"
"Clayton Andrews","Blue Jays","1","2","0","8","2","20.2","5.23","3.92","2.61",".373","57.8%","","","10.02","7.05","","-0.3","1000247"
"Mike Johnson","Expos","5","6","0","41","13","101.1","6.22","4.71","1.60",".282","66.8%","","","6.39","5.90","","-0.3","1006487"
"Matt DeWitt","Blue Jays","1","0","0","8","0","13.2","3.95","5.93","2.63",".340","70.9%","","","8.56","8.48","","-0.3","1028"
"Rich Rodriguez","Mets","0","1","0","32","0","37.0","4.38","3.65","1.70",".366","55.1%","","","7.78","6.08","","-0.3","1276"
"Dan Murray","Royals","0","0","0","10","0","19.1","7.45","4.66","3.26",".250","99.1%","","","4.66","7.89","","-0.4","1009384"
"Horacio Estrada","Brewers","3","0","0","7","4","24.1","4.81","7.40","1.85",".301","75.6%","","","6.29","7.45","","-0.4","1003843"
"Francisco Cordero","Rangers","1","2","0","56","0","77.1","5.70","5.59","1.28",".300","71.2%","","","5.35","5.73","","-0.4","1243"
"Scott Linebrink","- - -","0","0","0","11","0","12.0","4.50","6.00","3.00",".333","89.7%","","","6.00","9.22","","-0.4","564"
"Mark Clark","Rangers","3","5","0","12","8","44.0","3.27","4.91","2.05",".335","64.6%","","","7.98","7.20","","-0.4","1002296"
"Jay Ryan","Twins","0","1","0","16","1","26.0","6.58","3.46","2.77",".333","65.2%","","","7.62","6.94","","-0.4","1011340"
"Billy Wagner","Astros","2","4","6","28","0","27.2","9.11","5.86","1.95",".289","72.5%","","","6.18","5.99","","-0.4","578"
"Scott Forster","Expos","0","1","0","42","0","32.0","6.47","7.03","1.41",".232","50.0%","","","7.88","6.26","","-0.4","1004235"
"Kane Davis","- - -","0","3","0","8","2","15.0","2.40","7.80","2.40",".371","49.5%","","","12.60","9.07","","-0.4","872"
"Allen Watson","Yankees","0","0","0","17","0","22.0","8.18","7.36","2.45",".348","60.1%","","","10.23","7.59","","-0.4","1013675"
"Ken Hill","- - -","5","8","0","18","17","81.2","5.51","6.50","1.76",".335","69.4%","","","7.16","6.70","","-0.4","1005827"
"Kevin Hodges","Mariners","0","0","0","13","0","17.1","3.63","6.23","2.08",".292","83.3%","","","5.19","7.75","","-0.4","1005885"
"Frank Rodriguez","Mariners","2","1","0","23","0","47.1","3.61","4.18","1.52",".315","69.2%","","","6.27","5.92","","-0.4","1011106"
"Mike Trombley","Orioles","4","5","4","75","0","72.0","9.00","4.75","1.88",".269","85.2%","","","4.13","5.59","","-0.4","758"
"Craig House","Rockies","1","1","0","16","0","13.2","5.27","11.20","1.98",".256","75.5%","","","7.24","8.99","","-0.4","1006055"
"Matt Karchner","Cubs","1","1","0","13","0","14.2","3.07","6.75","1.84",".286","73.6%","","","6.14","7.36","","-0.4","1006697"
"John Johnstone","Giants","3","4","0","47","0","50.0","6.66","2.34","1.98",".333","69.2%","","","6.30","5.41","","-0.4","1006475"
"Jim Poole","- - -","1","0","0","23","0","10.2","6.75","3.38","4.22",".400","63.2%","","","10.97","9.13","","-0.4","1010435"
"Dwight Gooden","- - -","6","5","2","27","14","105.0","4.71","3.77","1.97",".281","76.2%","","","4.71","6.28","","-0.4","1004852"
"Derrick Turnbow","Angels","0","0","0","24","1","38.0","5.92","8.53","1.66",".261","82.6%","","","4.74","7.21","","-0.4","1694"
"Brad Rigby","- - -","0","0","2","10","0","13.2","3.29","5.27","3.95",".368","55.9%","","","11.85","10.30","","-0.4","1010954"
"Stan Belinda","- - -","1","3","1","56","0","46.2","9.84","4.24","2.70",".315","59.6%","","","7.71","6.46","","-0.5","1000792"
"Scott Kamieniecki","- - -","3","4","2","52","0","58.0","7.14","6.52","1.40",".318","71.0%","","","5.59","5.79","","-0.5","1006681"
"Jesus Pena","- - -","2","1","1","22","0","26.1","6.84","6.49","2.39",".276","75.9%","","","5.13","7.35","","-0.5","1010146"
"Gene Stechschulte","Cardinals","1","0","0","20","0","25.2","4.21","5.96","2.10",".222","58.3%","","","6.31","7.23","","-0.5","1184"
"Ron Mahay","- - -","1","1","0","23","2","41.1","6.97","5.44","2.18",".356","69.1%","","","7.19","6.55","","-0.5","290"
"Eddie Guardado","Twins","7","4","9","70","0","61.2","7.59","3.65","2.04",".241","88.0%","","","3.94","5.66","","-0.5","727"
"Jeff Wallace","Pirates","2","0","0","38","0","35.2","6.81","8.58","1.26",".322","65.8%","","","7.07","6.64","","-0.5","1013550"
"Darwin Cubillan","- - -","1","0","0","20","0","33.1","7.29","6.75","2.43",".391","64.2%","","","9.45","7.36","","-0.5","771"
"Jeff Brantley","Phillies","2","7","23","55","0","55.1","9.27","4.72","1.95",".333","75.5%","","","5.86","5.57","","-0.5","1001358"
"Eric Weaver","Angels","0","2","0","17","0","18.1","3.93","7.85","2.45",".238","69.0%","","","6.87","8.43","","-0.5","1013695"
"Orel Hershiser","Dodgers","1","5","0","10","6","24.2","4.74","5.11","1.82",".398","51.7%","","","13.14","7.76","","-0.5","1005741"
"Doug Henry","- - -","4","4","1","72","0","78.1","7.12","5.63","1.38",".216","79.4%","","","3.79","5.57","","-0.6","1005668"
"Kent Mercker","Angels","1","3","0","21","7","48.1","5.59","5.40","2.23",".296","74.4%","","","6.52","7.04","","-0.6","439"
"Jaime Navarro","- - -","0","6","0","12","7","33.1","4.32","6.21","2.43",".360","52.0%","","","10.53","7.84","","-0.6","1009465"
"Pedro Borbon","Blue Jays","1","1","1","59","0","41.2","6.26","8.21","1.08",".294","63.0%","","","6.48","6.40","","-0.6","1289"
"Brian Williams","- - -","1","1","1","29","0","42.1","4.25","6.59","1.28",".317","64.4%","","","7.23","6.51","","-0.6","1013978"
"Jim Bruske","Brewers","1","0","0","15","0","16.2","4.32","6.48","2.70",".293","72.4%","","","6.48","8.59","","-0.6","1001598"
"Carlos Reyes","- - -","1","3","1","22","0","28.1","5.40","4.13","2.22",".217","71.9%","","","5.72","6.63","","-0.6","1721"
"Ruben Quevedo","Cubs","3","10","0","21","15","88.0","6.65","5.52","2.15",".273","58.3%","","","7.47","6.70","","-0.6","705"
"Calvin Maduro","Orioles","0","0","0","15","2","23.1","6.94","6.17","3.09",".304","61.5%","","","9.64","8.36","","-0.6","151"
"Pat Mahomes","Mets","5","3","0","53","5","94.0","7.28","6.32","1.44",".289","70.6%","","","5.46","5.76","","-0.7","291"
"Sean Bergman","Twins","4","5","0","15","14","68.0","4.63","4.37","2.38",".373","58.0%","","","9.66","7.09","","-0.7","1000881"
"Chris Fussell","Royals","5","3","0","20","9","70.0","5.91","5.66","2.31",".276","72.3%","","","6.30","7.13","","-0.7","1004410"
"Rick Aguilera","Cubs","1","2","29","54","0","47.2","7.17","3.40","2.08",".259","76.5%","","","4.91","5.92","","-0.7","1000086"
"Alan Mills","- - -","4","1","2","41","0","49.1","6.57","6.39","1.64",".309","79.6%","","","5.29","6.30","","-0.7","1008949"
"Mike Lincoln","Twins","0","3","0","8","4","20.2","6.53","5.66","4.35",".377","70.3%","","","10.89","10.15","","-0.8","1457"
"Miguel Batista","- - -","2","7","0","18","9","65.1","5.10","5.10","2.62",".307","57.5%","","","8.54","7.57","","-0.9","46"
"Chris Brock","Phillies","7","8","1","63","5","93.1","6.65","3.95","2.03",".238","81.3%","","","4.34","5.99","","-0.9","130"
"John Frascatore","Blue Jays","2","4","0","60","0","73.0","3.70","4.07","1.73",".291","70.8%","","","5.42","6.45","","-1.1","1004304"
