,WAR,Age
0,-0.1,24
1,0.5,25
2,,
3,0.3,27
4,,
0,1.2,25
1,-0.2,26
2,0.3,26
3,-0.1,27
4,,
0,0.6,22
1,2.6,23
2,2.4,24
3,7.2,25
4,3.5,26
5,2.0,27
6,2.9,28
7,4.4,29
8,,
9,0.2,31
10,,
11,0.3,33
12,,
0,0.2,23
1,0.2,23
2,-0.1,24
3,1.0,25
4,,
5,0.2,27
6,0.9,28
7,0.0,29
8,,
0,0.7,23
1,-0.3,24
2,0.0,25
3,-1.2,26
4,-0.5,27
5,-0.1,27
6,0.1,27
7,-0.2,28
8,-0.4,29
9,,
10,0.2,32
11,1.3,33
12,0.6,34
13,0.2,35
14,-1.8,36
15,,
0,1.0,27
1,1.0,28
2,0.4,29
3,-0.3,30
4,1.9,31
5,0.5,32
6,,
0,1.0,26
1,-0.9,27
2,-0.4,28
3,,
0,-0.3,27
1,0.7,28
2,-0.1,29
3,,
4,0.1,31
5,0.0,31
6,1.8,32
7,1.1,33
8,0.3,34
9,0.0,34
10,,
0,0.8,23
1,1.0,24
2,7.1,25
3,1.4,26
4,,
0,1.0,26
1,0.3,27
2,2.0,28
3,-0.2,29
4,1.5,29
5,4.1,30
6,-0.3,31
7,,
0,0.1,24
1,0.8,25
2,,
3,0.0,27
4,-0.1,28
5,,
6,0.5,30
7,-0.7,31
8,0.0,31
9,0.4,32
10,,
0,-0.1,27
1,0.8,28
2,-0.1,29
3,-0.4,29
4,,
5,-0.2,31
6,,
0,0.0,24
1,0.7,25
2,-0.3,26
3,,
0,0.5,30
1,0.4,31
2,,
0,1.5,24
1,1.1,25
2,2.2,26
3,0.7,27
4,0.6,28
5,-0.5,28
6,-0.2,29
7,1.0,30
8,1.6,31
9,1.9,32
10,1.7,33
11,-0.1,34
12,0.9,35
13,-0.8,36
14,-0.7,36
15,,
0,0.7,24
1,1.5,25
2,2.8,26
3,2.5,27
4,0.9,28
5,0.3,29
6,-0.4,30
7,,
0,-0.2,27
1,0.1,28
2,0.3,29
3,,
0,0.0,23
1,-0.8,24
2,0.4,25
3,0.1,26
4,1.3,27
5,0.8,28
6,-0.1,29
7,-0.9,30
8,-0.1,31
9,,
0,0.6,25
1,-0.1,26
2,,
0,1.3,24
1,-0.1,25
2,-1.4,26
3,,
4,-0.1,28
5,-0.1,28
6,,
0,0.1,25
1,,
2,0.0,27
3,0.4,27
4,-0.1,28
5,,
6,-0.2,31
7,,
8,2.8,35
9,,
0,0.1,24
1,0.1,25
2,1.8,26
3,0.1,27
4,-0.1,28
5,0.4,29
6,-0.9,30
7,0.0,31
8,,
0,-0.2,25
1,0.3,26
2,-0.1,27
3,0.5,28
4,1.9,29
5,2.4,30
6,1.2,31
7,0.0,32
8,0.4,32
9,-0.3,33
10,0.3,33
11,,
0,0.5,21
1,-0.3,22
2,0.4,23
3,0.6,24
4,-0.8,25
5,1.7,26
6,2.8,27
7,0.0,28
8,0.9,28
9,1.1,29
10,,
0,3.8,22
1,2.8,23
2,,
0,0.7,26
1,0.2,27
2,,
0,-0.1,25
1,0.9,26
2,3.8,27
3,2.0,28
4,-1.0,29
5,1.2,30
6,2.4,31
7,-2.6,32
8,1.1,33
9,0.9,34
10,-0.8,35
11,,
0,-0.8,25
1,0.0,26
2,1.4,27
3,-0.3,27
4,-0.1,28
5,-0.1,29
6,,
0,0.7,23
1,,
2,0.0,25
3,-0.6,26
4,0.0,27
5,0.2,28
6,3.1,29
7,0.8,30
8,1.1,31
9,,
0,0.5,22
1,2.7,23
2,0.0,24
3,2.9,25
4,2.7,26
5,0.1,26
6,2.4,27
7,3.0,28
8,5.9,29
9,-1.0,30
10,0.3,31
11,1.3,31
12,0.6,32
13,-1.1,33
14,-0.8,34
15,,
16,-0.6,36
17,,
0,-0.6,23
1,,
2,-0.2,25
3,-0.5,26
4,,
5,0.6,32
6,-0.5,33
7,,
0,0.5,23
1,0.6,24
2,0.1,25
3,-0.4,26
4,-0.2,27
5,-0.4,28
6,,
0,0.2,26
1,-0.6,27
2,0.2,27
3,,
0,2.8,28
1,1.7,29
2,0.7,30
3,0.7,31
4,0.2,31
5,1.5,32
6,1.7,33
7,0.3,34
8,2.1,35
9,1.3,36
10,0.9,36
11,-0.8,37
12,0.0,38
13,0.0,38
14,,
0,-0.2,25
1,,
0,-0.6,25
1,,
2,-0.3,28
3,,
0,0.0,27
1,,
0,0.5,26
1,-0.1,27
2,,
0,0.0,23
1,1.6,24
2,2.0,25
3,-0.3,26
4,,
5,-0.3,28
6,,
0,0.5,27
1,,
0,1.0,23
1,0.6,24
2,0.7,25
3,0.5,26
4,,
0,0.2,21
1,0.4,22
2,0.2,22
3,2.1,23
4,0.2,24
5,-0.6,25
6,,
0,0.3,26
1,-0.3,27
2,-0.6,28
3,0.3,29
4,0.1,30
5,,
0,-0.2,25
1,-0.2,26
2,0.1,27
3,1.1,28
4,0.8,29
5,-0.2,30
6,1.1,31
7,1.2,32
8,0.6,32
9,0.8,33
10,-0.6,33
11,1.8,34
12,,
0,0.4,21
1,-0.5,22
2,0.7,23
3,-0.1,24
4,0.8,25
5,0.1,26
6,0.1,27
7,0.6,28
8,0.3,29
9,0.8,29
10,-1.3,30
11,0.8,31
12,,
0,1.0,21
1,-0.2,22
2,0.4,23
3,,
4,-1.2,25
5,1.1,26
6,2.1,27
7,0.1,28
8,1.9,29
9,1.7,30
10,-1.5,31
11,0.7,32
12,0.6,32
13,-0.5,33
14,,
0,-1.1,22
1,-0.6,23
2,0.7,24
3,-0.2,25
4,-0.7,26
5,-0.5,26
6,-1.2,27
7,,
0,1.2,21
1,1.1,22
2,0.6,23
3,0.4,24
4,0.8,25
5,,
6,3.3,27
7,2.1,28
8,-0.2,29
9,-0.6,30
10,1.6,30
11,-0.3,31
12,0.0,32
13,0.7,33
14,-0.2,34
15,,
0,1.0,25
1,0.6,26
2,0.1,27
3,0.1,28
4,1.2,29
5,-0.4,30
6,,
0,1.0,22
1,1.0,23
2,0.2,24
3,1.7,25
4,1.4,26
5,3.1,27
6,-0.5,28
7,-0.3,29
8,1.0,30
9,0.4,31
10,1.1,32
11,1.4,33
12,,
0,0.5,24
1,0.3,25
2,3.0,26
3,,
0,-0.1,24
1,-1.1,25
2,,
3,0.5,28
4,0.9,29
5,3.2,30
6,,
0,1.7,30
1,3.4,31
2,1.0,32
3,0.5,33
4,0.6,34
5,0.6,35
6,-0.5,36
7,0.8,37
8,-0.4,38
9,,
0,-0.2,23
1,,
0,0.5,26
1,1.8,27
2,-0.2,28
3,1.0,29
4,,
0,-0.1,22
1,2.2,23
2,1.3,24
3,-0.4,25
4,1.3,26
5,1.3,27
6,1.2,28
7,0.3,29
8,0.5,30
9,-0.9,31
10,,
0,0.6,24
1,,
0,0.0,21
1,0.8,22
2,-0.1,23
3,2.8,24
4,4.4,25
5,0.7,26
6,0.7,27
7,0.5,28
8,4.9,29
9,0.4,30
10,-0.1,31
11,0.8,31
12,-0.6,32
13,,
0,2.1,23
1,0.8,24
2,0.1,25
3,0.1,26
4,-0.6,26
5,,
0,-0.2,25
1,,
0,0.4,25
1,2.8,26
2,0.1,27
3,1.5,28
4,-0.2,29
5,,
0,-0.2,26
1,0.0,26
2,0.3,27
3,-0.4,28
4,,
0,0.2,22
1,-1.6,23
2,1.1,24
3,0.2,25
4,1.6,26
5,0.7,27
6,-0.9,28
7,-0.3,29
8,0.1,30
9,,
0,0.4,25
1,0.1,26
2,-0.5,27
3,-0.6,28
4,0.4,29
5,0.2,30
6,,
0,1.6,26
1,3.6,27
2,0.2,28
3,-1.1,29
4,0.6,30
5,1.3,31
6,0.3,32
7,0.2,33
8,1.4,34
9,-1.6,35
10,,
0,-0.1,25
1,,
0,-0.6,23
1,-0.3,24
2,,
3,1.2,26
4,0.0,27
5,0.6,28
6,-0.1,29
7,,
0,0.1,25
1,0.3,26
2,2.1,27
3,-0.3,28
4,2.7,29
5,1.8,30
6,1.1,31
7,2.1,32
8,0.4,33
9,0.3,34
10,0.6,34
11,0.2,35
12,-0.7,36
13,-0.2,36
14,,
0,0.7,22
1,2.8,23
2,-2.3,24
3,0.0,25
4,0.6,26
5,0.1,27
6,0.9,28
7,-0.4,29
8,-0.3,29
9,,
0,-0.1,24
1,2.8,25
2,4.2,26
3,1.9,27
4,2.2,28
5,0.2,29
6,0.9,30
7,-0.6,30
8,-0.3,31
9,,
10,1.6,33
11,-1.5,34
12,0.6,35
13,1.2,36
14,-1.0,37
15,0.2,38
16,,
0,0.1,30
1,,
0,0.0,27
1,-0.2,28
2,-0.3,29
3,1.6,30
4,1.5,31
5,0.2,32
6,-0.3,33
7,,
0,-0.6,24
1,,
2,0.1,28
3,-0.4,29
4,,
5,0.1,33
6,,
0,0.4,26
1,-0.8,27
2,0.5,28
3,0.4,29
4,-0.6,30
5,,
0,0.2,29
1,-0.1,30
2,,
3,0.6,32
4,,
5,0.3,36
6,,
0,0.6,24
1,-0.2,25
2,,
3,-0.1,27
4,0.7,28
5,0.7,29
6,1.0,30
7,-0.1,31
8,-1.3,32
9,-0.7,33
10,-0.4,33
11,,
0,-0.1,22
1,,
0,-0.1,24
1,0.0,25
2,-0.6,26
3,-0.3,27
4,-0.6,27
5,,
0,-1.0,23
1,0.2,24
2,0.1,25
3,0.5,26
4,2.6,27
5,2.5,28
6,6.8,29
7,3.3,30
8,1.5,31
9,2.6,32
10,2.4,33
11,-1.1,34
12,2.9,35
13,2.2,36
14,0.6,37
15,,
16,-1.5,40
17,,
0,-0.6,25
1,-0.4,26
2,-0.2,27
3,0.0,28
4,,
0,0.1,21
1,0.0,22
2,0.6,23
3,2.5,23
4,-0.3,24
5,-0.1,24
6,0.0,25
7,-0.6,25
8,-0.1,25
9,-0.1,26
10,0.1,26
11,1.3,27
12,3.0,28
13,-1.2,29
14,-0.3,30
15,,
16,0.2,32
17,2.9,33
18,2.0,34
19,0.6,35
20,1.9,36
21,-1.1,37
22,-0.4,38
23,,
0,0.5,22
1,,
2,-0.8,24
3,1.1,25
4,-1.0,26
5,-1.2,27
6,,
0,0.0,20
1,,
0,0.3,22
1,,
0,-0.3,24
1,,
2,0.0,26
3,0.0,27
4,0.1,28
5,-0.1,29
6,,
0,-0.4,24
1,,
0,0.3,23
1,-0.6,24
2,0.4,25
3,-0.3,26
4,-0.5,27
5,,
0,0.0,25
1,0.4,26
2,-0.1,27
3,2.1,27
4,0.3,28
5,0.2,29
6,-0.3,30
7,,
0,0.4,23
1,0.2,24
2,0.7,25
3,1.9,26
4,1.2,27
5,1.2,28
6,0.5,29
7,-1.1,30
8,0.5,31
9,,
0,-0.3,24
1,0.9,25
2,0.3,26
3,1.5,27
4,2.8,28
5,0.4,29
6,-0.1,30
7,0.6,31
8,-0.5,32
9,,
0,-0.5,23
1,-1.0,24
2,0.2,25
3,-0.4,26
4,0.6,27
5,1.5,28
6,,
0,0.5,24
1,-0.4,25
2,0.9,26
3,1.5,27
4,1.8,28
5,0.1,28
6,2.1,29
7,-1.6,30
8,-0.3,30
9,0.7,31
10,-0.8,31
11,0.4,32
12,0.1,33
13,,
0,0.0,25
1,,
2,0.1,28
3,0.0,29
4,,
5,0.3,31
6,,
0,-0.5,21
1,-0.2,22
2,,
3,-0.5,27
4,,
5,-0.5,29
6,0.7,30
7,-1.0,31
8,,
9,0.0,33
10,,
11,0.8,36
12,-0.2,37
13,,
0,-0.5,25
1,1.3,26
2,0.4,27
3,0.7,28
4,0.8,29
5,-0.4,30
6,1.5,31
7,0.4,32
8,,
0,-0.7,24
1,0.3,25
2,1.7,26
3,-1.3,27
4,1.7,28
5,5.0,29
6,4.9,30
7,1.0,31
8,3.5,32
9,-0.2,33
10,1.4,34
11,,
0,-0.3,24
1,-0.2,25
2,,
0,0.3,24
1,,
0,-0.1,27
1,-0.8,28
2,,
0,0.3,21
1,-0.3,22
2,,
0,0.0,24
1,-0.1,25
2,,
0,1.3,26
1,0.8,27
2,0.0,28
3,,
0,-0.7,22
1,-0.4,23
2,1.4,24
3,-0.3,25
4,0.3,26
5,0.6,27
6,,
0,0.0,23
1,0.3,24
2,1.6,25
3,1.2,26
4,-0.2,27
5,-0.2,27
6,,
0,0.8,22
1,0.4,23
2,2.8,24
3,-0.5,25
4,-0.8,26
5,0.2,26
6,2.4,27
7,5.3,28
8,0.4,29
9,,
10,0.0,31
11,0.0,32
12,0.1,33
13,0.9,33
14,3.8,34
15,1.8,35
16,-0.7,36
17,,
0,-0.7,22
1,0.7,23
2,0.7,24
3,,
4,-0.9,26
5,4.1,27
6,3.9,28
7,3.0,29
8,5.2,30
9,3.7,31
10,0.1,32
11,,
0,-0.4,23
1,-0.1,24
2,,
0,0.1,23
1,0.0,24
2,,
3,1.5,26
4,,
0,0.2,26
1,-0.2,27
2,-0.3,28
3,,
0,-0.6,24
1,0.3,25
2,0.1,26
3,,
0,-0.4,23
1,3.0,24
2,2.7,25
3,1.6,26
4,2.7,27
5,0.6,28
6,0.5,29
7,-0.6,30
8,0.3,30
9,-0.7,31
10,,
0,0.5,24
1,,
0,1.6,22
1,1.7,23
2,1.2,24
3,2.2,25
4,0.1,26
5,,
0,0.1,23
1,0.2,24
2,0.1,25
3,,
0,0.7,23
1,0.2,24
2,3.9,25
3,3.5,26
4,-1.0,27
5,2.6,28
6,-1.9,29
7,-0.9,30
8,1.9,31
9,,
0,0.0,26
1,-0.2,27
2,,
3,0.4,29
4,0.9,30
5,0.9,31
6,-0.4,32
7,2.2,33
8,0.3,34
9,-0.1,35
10,0.0,36
11,,
0,1.1,22
1,1.5,23
2,0.7,24
3,-0.8,25
4,-0.1,26
5,2.0,27
6,1.3,28
7,1.5,29
8,-0.1,30
9,0.9,31
10,-1.1,32
11,,
0,-0.7,20
1,1.4,21
2,5.4,22
3,6.6,23
4,5.6,24
5,5.3,25
6,3.4,26
7,4.2,27
8,3.0,28
9,2.6,29
10,0.7,30
11,0.7,31
12,,
0,-0.3,22
1,0.5,23
2,-0.9,24
3,-0.4,25
4,,
0,0.2,21
1,-0.7,22
2,0.1,23
3,1.3,24
4,,
5,-0.1,26
6,,
0,0.9,22
1,-1.1,23
2,-0.5,24
3,,
4,-0.2,26
5,,
0,-0.6,23
1,,
2,0.3,25
3,,
4,-0.8,29
5,,
0,-0.3,25
1,-0.1,26
2,,
3,1.1,28
4,0.6,29
5,0.7,30
6,1.0,31
7,-0.4,32
8,0.1,32
9,-0.5,33
10,-0.5,33
11,,
0,-0.1,24
1,1.9,25
2,,
3,-0.5,27
4,0.9,28
5,1.9,29
6,1.8,30
7,1.5,31
8,0.1,32
9,-0.1,33
10,,
0,-0.7,22
1,,
2,-0.5,25
3,-0.3,26
4,,
5,0.2,28
6,,
0,0.2,25
1,0.4,26
2,,
0,-0.3,30
1,,
2,-0.1,32
3,,
0,0.1,24
1,-0.2,25
2,0.0,26
3,,
0,-0.5,21
1,,
2,0.6,23
3,,
4,0.0,26
5,,
6,0.2,28
7,0.5,29
8,0.1,30
9,0.2,30
10,,
0,0.3,25
1,-0.7,26
2,0.0,27
3,0.7,28
4,0.3,29
5,0.4,30
6,1.0,31
7,-0.4,32
8,,
0,-0.7,25
1,,
2,-0.3,32
3,-0.4,32
4,,
0,-0.6,24
1,-1.1,25
2,2.4,26
3,1.6,27
4,0.6,28
5,0.9,29
6,-0.2,30
7,,
0,1.6,21
1,3.6,22
2,4.8,23
3,1.4,24
4,3.6,25
5,0.5,26
6,1.7,27
7,0.2,28
8,,
9,-0.4,30
10,,
0,0.4,21
1,2.0,22
2,2.0,23
3,1.8,24
4,1.3,25
5,0.1,26
6,,
7,-0.2,28
8,,
0,0.1,21
1,-1.5,22
2,1.2,23
3,-0.3,24
4,-0.5,25
5,-1.0,26
6,-0.4,26
7,,
8,0.2,28
9,0.7,29
10,1.4,30
11,-0.1,31
12,0.7,32
13,-0.5,33
14,0.3,34
15,-0.8,35
16,,
0,0.7,20
1,-0.1,21
2,-0.9,22
3,1.2,23
4,1.4,24
5,0.6,25
6,-0.4,25
7,-0.8,26
8,1.2,26
9,-0.9,27
10,-0.1,27
11,-0.6,28
12,0.1,29
13,1.5,30
14,,
0,0.0,23
1,,
0,0.2,24
1,0.6,25
2,0.7,26
3,0.0,27
4,,
0,0.5,25
1,0.8,26
2,1.1,27
3,2.5,28
4,1.8,29
5,0.7,30
6,-2.2,31
7,-0.7,31
8,0.3,32
9,-0.3,33
10,-0.1,33
11,-0.3,33
12,1.7,34
13,0.4,35
14,0.0,36
15,-0.1,37
16,0.0,38
17,,
0,0.4,24
1,-0.4,25
2,,
0,-0.2,23
1,-0.7,24
2,,
0,-0.1,26
1,,
0,0.0,25
1,-0.9,25
2,1.0,26
3,0.2,27
