,WAR,Age,Previous War,2yr_war,ratio
337,0.5,31.0,-0.3,0.0,0.6923076923076923
338,0.6,27.0,2.1,3.7,0.0
339,-0.6,28.0,0.6,2.1,0.0
340,0.3,29.0,-0.6,0.6,0.0
341,-0.2,31.0,0.3,-0.6,0.0
342,-0.2,32.0,-0.2,0.3,0.0
343,0.2,33.0,-0.2,-0.2,0.0
344,-0.1,25.0,0.4,-0.2,0.5476190476190477
345,3.1,26.0,-0.1,0.4,0.5476190476190477
346,2.3,27.0,3.1,-0.1,0.5476190476190477
347,-1.1,28.0,2.3,3.1,0.5476190476190477
348,-0.6,29.0,-1.1,2.3,0.5476190476190477
349,4.8,30.0,-0.6,-1.1,0.5476190476190477
350,0.8,31.0,4.8,-0.6,0.5476190476190477
351,2.6,32.0,0.8,4.8,0.5476190476190477
352,-0.4,26.0,1.6,0.30000000000000004,0.009202453987730062
353,1.0,27.0,-0.4,1.6,0.009202453987730062
354,0.7,28.0,1.0,-0.4,0.009202453987730062
355,0.7,29.0,0.7,1.0,0.009202453987730062
356,0.0,25.0,1.7999999999999998,-0.2,0.9746835443037974
357,-0.4,26.0,0.0,1.7999999999999998,0.9746835443037974
358,1.6,27.0,-0.4,0.0,0.9746835443037974
359,1.0,28.0,1.6,-0.4,0.9746835443037974
360,0.3,29.0,-1.2,0.3,0.1176470588235294
361,-0.1,24.0,0.2,-0.6,0.4406779661016949
362,0.1,25.0,-0.1,0.2,0.4406779661016949
363,0.0,26.0,0.1,-0.1,0.4406779661016949
364,-0.2,27.0,0.0,0.1,0.4406779661016949
365,-0.6,29.0,-0.2,0.0,0.4406779661016949
366,-1.7,23.0,-0.2,-0.2,0.11870503597122302
367,-0.1,24.0,-1.7,-0.2,0.11870503597122302
368,-1.3,25.0,-0.1,-1.7,0.11870503597122302
369,-0.5,26.0,-1.3,-0.1,0.11870503597122302
370,0.7,27.0,-0.5,-1.3,0.11870503597122302
371,0.4,28.0,0.7,-0.5,0.11870503597122302
