,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,career,games,contracts,years,pitcher,start_ratio
44,Corey Oswalt\oswalco01,27,3,Amateur Draft,1.052,,,,,Arb,Arb,Arb,FA,,,,,,"[-0.6, -0.3, 0.1]","[17.0, 2.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",True,0.5652173913043478
45,David Peterson\peterda01,25,2,Amateur Draft,1.0,,,,,Arb,Arb,Arb,FA,,,,,,"[1.6, -1.0]","[10.0, 11.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,1.0
46,Sean Reid-Foley\reidfse01,25,4,Traded,0.122,Jet Sports,,,,,Arb,Arb,Arb,FA,,,,,"[-0.1, 0.1, 0.1, 0.5]","[7.0, 9.0, 5.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
47,Jordan Yamamoto\yamamjo01,25,3,Traded,0.154,,,,,Arb,Arb,Arb,Arb,FA,,,,,"[0.8, -1.1, -0.1]","[15.0, 4.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.5
48,Wilfredo Tovar\tovarwi01,29,4,Free Agency,0.099,,,,,,Arb,Arb,Arb,FA,,,,,"[0.0, -0.1, -0.2, -0.1]","[7.0, 2.0, 31.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2013, 2014, 2019, 2021]",False,
49,Franklyn Kilome\kilomfr01,26,1st,Traded,0.075,,,,,,Arb,Arb,Arb,FA,,,,,[-0.3],[4.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.0
50,Orlando Calixte\calixor01,29,2,,0.072,,,,,,Arb,Arb,Arb,FA,,,,,"[0.0, -0.7]","[2.0, 29.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2017]",False,
51,Stephen Nogosek\nogosst01,26,1st,Traded,0.03,,,,,,Arb,Arb,Arb,FA,,,,,[-0.2],[7.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2019],True,0.0
52,Jesus Reyes\reyesje01,28,1st,,0.027,,,,,,Arb,Arb,Arb,FA,,,,,[0.0],[5.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2018],True,0.0
53,Drew Jackson\jacksdr01,27,1st,,0.014,,,,,,Arb,Arb,Arb,FA,,,,,[0.0],[3.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2019],False,
54,Travis Blankenhorn\blanktr01,24,2,Waivers,0.008,,,,,,Arb,Arb,Arb,FA,,,,,"[-0.1, -0.1]","[1.0, 7.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
