,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,career,games,contracts,years,pitcher,start_ratio
34,Brusdar Graterol\gratebr01,22,3,Traded,1.029,,,,,Arb,Arb,Arb,FA,,,,,,,"[0.0, 0.2, -0.3]","[10.0, 23.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
35,Andrew Toles\tolesan01,29,3,Free Agency,1.128,Magnus Sports,,,,Arb,Arb,Arb,FA,,,,,,,"[1.4, 0.5, 0.0]","[48.0, 31.0, 17.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018]",False,
36,Brock Stewart\stewabr01,29,4,Amateur Draft,1.105,,,,,Arb,Arb,Arb,FA,,,,,,,"[-0.1, 0.0, -0.6, -0.7999999999999999]","[7.0, 17.0, 9.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019]",True,0.2391304347826087
37,Matt Beaty\beatyma01,28,3,Amateur Draft,1.104,,,,,Arb,Arb,Arb,FA,,,,,,,"[0.3, -0.5, 0.1]","[99.0, 21.0, 46.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
38,Will Smith\smithwi05,26,3,Amateur Draft,1.09,Sosnick Cobbe & K...,,,,Arb,Arb,Arb,FA,,,,,,,"[1.7, 1.5, 1.1]","[54.0, 37.0, 48.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
39,Dustin May\maydu01,23,3,Amateur Draft,1.059,Craig Rose Parag...,,,,Arb,Arb,Arb,FA,,,,,,,"[-0.2, 1.4, 0.5]","[14.0, 12.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,1.0
40,Carlos Asuaje\asuajca01,29,3,,1.048,,,,,Arb,Arb,Arb,FA,,,,,,,"[-0.1, 0.7, -0.2]","[7.0, 89.0, 79.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018]",False,
41,Austin Bibens-Dirkx\bibenau01,36,2,,1.047,,,,,Arb,Arb,Arb,FA,,,,,,,"[1.0, -0.3]","[24.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018]",True,0.32432432432432434
42,Edwin Rios\riosed01,27,3,Amateur Draft,1.043,,,,,Arb,Arb,Arb,FA,,,,,,,"[0.5, 0.7, -0.6]","[28.0, 32.0, 25.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
43,Tony Gonsolin\gonsoto01,27,2,Amateur Draft,0.152,Beverly Hills Spo...,,,,Arb,Arb,Arb,Arb,FA,,,,,,"[0.7999999999999999, 1.4]","[11.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",True,0.7
44,Alex Vesia\vesiaal01,25,2,Traded,0.136,,,,,,Arb,Arb,Arb,FA,,,,,,"[-0.5, -0.3]","[5.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
45,Mike Kickham\kickhmi01,32,4,Free Agency,0.165,ISE Baseball,,,,Arb,Arb,Arb,Arb,FA,,,,,,"[-1.4, -0.2, -0.2, -0.1]","[12.0, 2.0, 6.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2013, 2014, 2020, 2021]",True,0.0
46,Yefry Ramirez\ramirye01,27,2,,0.163,,,,,Arb,Arb,Arb,Arb,FA,,,,,,"[0.2, -0.5]","[17.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",True,0.43333333333333335
47,Victor Gonzalez\gonzavi02,25,2,Amateur Free Agent,0.128,,,,,,Arb,Arb,Arb,FA,,,,,,"[0.6, 0.6]","[15.0, 24.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
48,Gavin Lux\luxga01,23,3,Amateur Draft,0.114,,,,,,Arb,Arb,Arb,FA,,,,,,"[0.6, 0.6, 1.1]","[23.0, 19.0, 49.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
49,Aaron Wilkerson\wilkeaa01,32,3,,0.067,C.L. Rocks Corpor...,,,,,Arb,Arb,Arb,FA,,,,,,"[0.1, -0.4, -0.1]","[3.0, 3.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019]",True,0.21428571428571427
50,Sheldon Neuse\neusesh01,26,2,Traded,0.032,,,,,,Arb,Arb,Arb,FA,,,,,,"[0.3, -0.4]","[25.0, 28.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2021]",False,
51,Keibert Ruiz\ruizke01,22,2,Amateur Free Agent,0.022,,,,,,Arb,Arb,Arb,FA,,,,,,"[0.1, 0.0]","[2.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
52,Mitch White\whitemi03,26,2,Amateur Draft,0.025,,,,,,Arb,Arb,Arb,FA,,,,,,"[0.1, -0.8]","[2.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
53,Zach McKinstry\mckinza01,26,2,Amateur Draft,0.017,NWSMG/Nik Lubisic...,,,,,Arb,Arb,Arb,FA,,,,,,"[0.0, -0.3]","[4.0, 23.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
54,Garrett Cleavinger\cleavga01,27,2,Traded,0.014,,,,,,Arb,Arb,Arb,FA,,,,,,"[0.0, -0.2]","[1.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
55,Phil Bickford\bickfph01,25,2,Waivers,0.008,,,,,,Arb,Arb,Arb,FA,,,,,,"[-0.1, 0.1]","[1.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
