,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,games,contracts,years,pitcher,start_ratio
35,Andrew Stevenson\stevean01,27,5,Amateur Draft,1.127,,,,,Arb,Arb,Arb,FA,"[-0.5, -0.3, 0.2, 0.9, 0.3]","[37.0, 57.0, 30.0, 15.0, 48.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
36,Austin Voth\vothau01,29,4,Amateur Draft,1.127,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA,"[-0.1, 1.1, 0.2, 0.5]","[4.0, 9.0, 11.0, 19.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.05263157894736842
37,Sean Nolin\nolinse01,31,3,,1.1,LSW Baseball,,,,Arb,Arb,Arb,FA,"[-0.3, 0.0, -0.3]","[1.0, 1.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2013, 2014, 2015]",True,0.875
38,Jefry Rodriguez\rodrije01,27,2,Amateur Free Agent,1.089,,,,,Arb,Arb,Arb,FA,"[-0.3, 0.2]","[14.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",True,0.6666666666666666
39,Kyle Lobstein\lobstky01,31,3,,1.088,Ballengee Group,,,,Arb,Arb,Arb,FA,"[0.4, -0.6, 0.4]","[7.0, 13.0, 14.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2015, 2016]",True,0.5
40,Adrian Sanchez\sanchad01,30,3,Amateur Free Agent,1.083,,,,,Arb,Arb,Arb,FA,"[0.2, 0.1, -0.1]","[34.0, 28.0, 28.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019]",False,
41,Daniel Palka\palkada01,29,2,,1.046,,,,,Arb,Arb,Arb,FA,"[0.6, -1.5]","[124.0, 30.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",False,
42,Kyle Finnegan\finneky01,29,2,Free Agency,1.0,L. Warner Compani...,,,,Arb,Arb,Arb,FA,"[0.8, -0.5]","[25.0, 26.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
43,Ramon Flores\florera02,29,3,,1.0,,,,,Arb,Arb,Arb,FA,"[0.0, -1.4, -0.3]","[12.0, 104.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017]",False,
44,Carlos Tocci\toccica01,25,1st,,1.0,,,,,Arb,Arb,Arb,FA,[-1.6],[66.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2018],False,
45,Seth Romero\romerse01,25,1st,Amateur Draft,0.128,,,,,,Arb,Arb,Arb,[-0.2],[3.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.0
46,Luis Garcia\garcilu04,21,2,Amateur Free Agent,0.125,,,,,,Arb,Arb,Arb,"[-0.1, 0.0]","[40.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
47,Josh Rogers\rogerjo01,26,2,,0.143,Beverly Hills Spo...,,,,,Arb,Arb,Arb,"[-0.3, -0.2]","[3.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",True,0.375
48,Kyle McGowin\mcgowky01,29,4,Traded,0.141,,,,,,Arb,Arb,Arb,"[0.0, -0.5, 0.2, 0.2]","[5.0, 7.0, 9.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
49,Ben Braymer\braymbe01,27,1st,Amateur Draft,0.064,,,,,,Arb,Arb,Arb,[0.4],[3.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.3333333333333333
50,Dakota Bacus\bacusda01,30,1st,Free Agency,0.125,,,,,,Arb,Arb,Arb,[-0.1],[11.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.0
