,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,career,pitcher,start_ratio,games,contracts
30,30,Aristides Aquino\aquinar01,27,4,Free Agency,1.005,,,,,Arb,Arb,Arb,"[-0.1, 1.1, -0.1, 0.0]",False,,"[1.0, 56.0, 23.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
31,31,Tim Adleman\adlemti01,33,2,Free Agency,1.155,,,,,Arb,Arb,Arb,"[1.3, -0.6]",True,0.7674418604651163,"[13.0, 30.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
32,32,Nick Senzel\senzeni01,26,3,Amateur Draft,1.15,Scott Boras,,,,Arb,Arb,Arb,"[0.0, -0.3, -0.4]",False,,"[104.0, 23.0, 36.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
33,33,Scott Heineman\heinesc01,28,3,Traded,1.116,Beverly Hills Spo...,,,,Arb,Arb,Arb,"[0.1, -0.3, 0.0]",False,,"[25.0, 24.0, 7.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
34,34,Alex Blandino\blandal01,28,3,Amateur Draft,1.108,,,,,Arb,Arb,Arb,"[-0.2, 0.2, -0.1]",False,,"[69.0, 23.0, 43.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
35,35,Tejay Antone\antonte01,27,2,Amateur Draft,1.0,L. Warner Compani...,,,,Arb,Arb,Arb,"[1.0, 2.1]",True,0.0,"[13.0, 19.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
36,36,Beau Taylor\taylobe11,31,3,,0.168,,,,,Arb,Arb,Arb,"[0.0, 0.1, -0.2]",False,,"[7.0, 11.0, 7.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
37,37,José García\garcijo02,23,1st,Amateur Free Agent,0.092,,,,,,Arb,Arb,[-0.7],False,,[24.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
38,38,Edgar Garcia\garcied01,24,2,,0.145,Optimum Baseball,,,,,Arb,Arb,"[-0.2, -0.3]",True,0.0,"[37.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
39,39,Phillip Diehl\diehlph01,26,2,,0.14400000000000002,Dynamic Sports Gr...,,,,,Arb,Arb,"[-0.1, -0.2]",True,0.0,"[10.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
40,40,Rocky Gale\galero01,33,4,,0.101,,,,,,Arb,Arb,"[-0.2, -0.1, -0.1, -0.3]",False,,"[11.0, 3.0, 3.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
41,41,Ashton Goudeau\goudeas01,28,2,Waivers,0.092,,,,,,Arb,Arb,"[-0.1, 0.1]",True,0.0,"[4.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
42,42,Max Schrock\schroma01,26,2,Waivers,0.075,,,,,,Arb,Arb,"[0.0, 0.3]",False,,"[11.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
43,43,R.J. Alaniz\alanirj01,30,1st,Waivers,0.065,,,,,,Arb,Arb,[-0.4],True,0.0,[12.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
44,44,Joel Kuhnel\kuhnejo01,26,2,Amateur Draft,0.065,,,,,,Arb,Arb,"[0.1, 0.0]",True,0.0,"[11.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
45,45,Brandon Bailey\bailebr01,26,1st,,0.064,,,,,,Arb,Arb,[0.1],True,0.0,[5.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
46,46,Tyler Stephenson\stephty01,24,2,Amateur Draft,0.056,,,,,,Arb,Arb,"[0.3, 0.0]",False,,"[8.0, 44.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
47,47,Art Warren\warrear01,28,2,Purchased,0.023,,,,,,Arb,Arb,"[0.3, 0.1]",True,0.0,"[6.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
48,48,Mark Payton\paytoma01,29,2,Traded,0.031,,,,,,Arb,Arb,"[-0.2, -0.3]",False,,"[8.0, 21.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
49,49,Blake Trahan\trahabl01,27,1st,Amateur Draft,0.03,,,,,,Arb,Arb,[0.0],False,,[11.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
50,50,Hector Perez\perezhe02,25,1st,,0.006,Optimum Baseball,,,,,Arb,Arb,[0.0],True,0.0,[1.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
