Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
47,2005,PHI,NL,88,74,.543,162,6345,-26,1,8,88,58,129,12.0,184,313,29.9,.506,.506,21.1,9.0,225,$95522000
48,2008,MIN,AL,88,75,.540,163,6331,13,3,0,-30,-5,-19,-0.3,233,215,22.1,.499,.499,24.5,-2.3,244,$56932766
49,2009,FLA,NL,87,75,.537,162,6312,-19,2,7,-53,53,-10,-2.2,186,176,16.0,.500,.500,21.3,-5.5,229,$38879000
50,2009,TEX,AL,87,75,.537,162,6127,-42,4,4,5,-4,-32,-2.4,227,195,19.0,.498,.498,18.6,0.6,190,$69170548
51,2006,TOR,AL,87,75,.537,162,6241,61,-4,-11,59,-4,101,10.6,232,334,32.9,.506,.506,27.2,5.9,274,$71365000
52,2009,MIN,AL,87,76,.534,163,6346,32,8,1,-45,-4,-9,-0.3,233,223,21.8,.499,.499,26.4,-4.4,269,$66914266
53,2008,HOU,NL,86,75,.534,161,6051,-47,-9,4,13,54,15,-0.6,178,193,16.5,.501,.501,15.9,0.8,180,$87556807
54,2009,ATL,NL,86,76,.531,162,6335,-22,-10,-3,-11,60,14,0.3,185,199,18.4,.501,.501,19.4,-0.8,210,$97788166
55,2008,STL,NL,86,76,.531,162,6370,47,-3,-3,61,57,159,13.8,187,346,31.7,.507,.507,26.3,5.6,285,$91476449
56,2008,TOR,AL,86,76,.531,162,6191,-28,-1,-7,40,-7,-3,1.4,230,227,23.5,.500,.500,18.8,4.7,186,$97390000
57,2006,BOS,AL,86,76,.531,162,6435,-6,-5,-2,-29,-5,-47,-3.9,233,187,18.4,.497,.497,21.3,-2.9,216,$119374824
58,2009,DET,AL,86,77,.528,163,6234,-48,-5,1,33,-12,-32,-2.5,231,199,19.4,.498,.498,16.3,2.8,166,$119510145
59,2009,SEA,AL,85,77,.525,162,6113,-73,-8,0,76,-6,-11,-0.3,225,215,21.0,.499,.499,13.5,7.6,139,$98919166
60,2007,CHC,NL,85,77,.525,162,6268,-70,-9,1,31,58,11,-0.1,183,195,17.3,.500,.500,14.6,2.7,164,$99287332
61,2006,PHI,NL,85,77,.525,162,6509,-9,8,4,-19,63,47,3.3,188,235,21.3,.502,.502,23.3,-2.1,254,$87923333
62,2008,FLA,NL,84,77,.522,161,6206,-35,1,1,10,53,31,0.9,182,213,18.3,.501,.501,18.0,0.3,202,$19441500
63,2009,TBR,AL,84,78,.519,162,6223,43,12,0,44,-5,94,10.0,231,326,31.9,.505,.505,27.6,4.4,281,$65663434
64,2008,LAD,NL,84,78,.519,162,6194,-54,9,-3,-12,61,1,-2.1,182,183,15.2,.500,.500,17.1,-1.5,195,$102578135
65,2007,ATL,NL,84,78,.519,162,6374,12,-2,-2,52,60,120,10.5,187,308,28.3,.505,.505,23.5,5.3,256,$71655833
66,2009,CHC,NL,83,78,.516,161,6244,-81,-11,-5,-23,58,-62,-7.5,182,121,10.4,.497,.497,12.6,-2.2,143,$139652000
67,2006,STL,NL,83,78,.516,161,6225,-29,0,3,50,59,83,6.7,183,266,24.2,.503,.503,19.4,4.5,216,$87356371
68,2007,MIL,NL,83,79,.512,162,6238,-3,2,1,-14,59,45,3.2,184,229,20.8,.502,.502,22.4,-1.4,243,$65236500
69,2007,TOR,AL,83,79,.512,162,6197,-45,-2,-6,90,-7,31,3.5,230,261,25.5,.502,.502,16.6,8.8,171,$81061300
70,2005,FLA,NL,83,79,.512,162,6214,0,1,-4,-70,59,-14,-2.8,181,168,14.9,.499,.499,22.4,-7.4,237,$60058834
71,2005,MIN,AL,83,79,.512,162,6192,-104,-9,-4,32,-3,-88,-8.9,230,142,13.2,.495,.495,10.2,3.2,110,$55540000
72,2005,NYM,NL,83,79,.512,162,6146,-36,18,2,-25,58,17,0.4,178,195,17.8,.501,.501,20.6,-2.7,220,$100669321
73,2008,ARI,NL,82,80,.506,162,6156,-112,4,1,-31,57,-81,-10.3,181,100,7.1,.496,.496,10.9,-3.6,131,$66202712
