,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,games,contracts,years,pitcher,start_ratio
38,Nick Martini\martini02,31,3,Free Agency,1.028,,,,,Arb,Arb,Arb,FA,"[1.4, -0.1]","[55.0, 32.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2021]",False,
39,Nico Hoerner\hoernni01,24,3,Amateur Draft,1.021,Sosnick Cobbe & K...,,,,Arb,Arb,Arb,FA,"[0.3, 1.89]","[20.0, 48.0, 21.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
40,Michael Hermosillo\hermomi01,26,3,,1.016,,,,,Arb,Arb,Arb,FA,"[-0.1, 0.0, 0.0]","[31.0, 18.0, 7.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",False,
41,Rafael Ortega\ortegra01,30,5,Free Agency,1.014,,,,,Arb,Arb,Arb,FA,"[0.1, -0.4, -0.5, -0.4]","[2.0, 66.0, 41.0, 34.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2012, 2016, 2018, 2019, 2021]",False,
42,Jake Jewell\jewelja01,28,2,,0.151,,,,,Arb,Arb,Arb,Arb,"[-0.1, -0.2]","[3.0, 18.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",True,0.0
43,Dillon Maples\mapledi01,29,5,Amateur Draft,0.136,CAA Sports,,,,,Arb,Arb,Arb,"[-0.2, -0.3, 0.0, -0.26999999999999996]","[6.0, 9.0, 14.0, 2.0, 17.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,0.0
44,James Bourque\bourqja01,27,2,,0.102,,,,,,Arb,Arb,Arb,"[-0.1, 0.26999999999999996]","[1.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",True,0.0
45,Ryan Meisinger\meisiry01,27,2,,0.079,,,,,,Arb,Arb,Arb,"[-0.1, 0.26999999999999996]","[18.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2020]",True,0.05
46,Patrick Wisdom\wisdopa01,29,4,Free Agency,0.079,Sosnick Cobbe & K...,,,,,Arb,Arb,Arb,"[0.5, -0.3, -0.26999999999999996]","[32.0, 9.0, 2.0, 18.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
47,Sergio Alcantara\alcanse01,24,2,Waivers,0.05,,,,,,Arb,Arb,Arb,[-0.81],"[10.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
48,Adbert Alzolay\alzolad01,26,3,Amateur Free Agent,0.05,,,,,,Arb,Arb,Arb,"[-0.30000000000000004, 1.0799999999999998]","[4.0, 6.0, 11.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,1.0
49,Abiatal Avelino\aveliab01,26,2,,0.037,,,,,,Arb,Arb,Arb,"[0.0, 0.0]","[6.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",False,
50,Ian Miller\milleia01,29,2,Free Agency,0.035,,,,,,Arb,Arb,Arb,"[0.1, 0.0]","[12.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",False,
51,CD Pelham\pelhacd01,26,1st,,0.027,,,,,,Arb,Arb,Arb,[-0.1],[10.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2018],True,0.0
52,Brailyn Marquez\marqubr01,22,1st,Amateur Free Agent,0.003,,,,,,Arb,Arb,Arb,[-0.5399999999999999],[1.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.0
