,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,career,games,contracts,years,pitcher,start_ratio
20,Justin Anderson\anderju01,28,2,,2.161,,,,,Arb,Arb,"[0.4, -0.3]","[57.0, 54.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",True,0.0
21,Jharel Cotton\cottojh01,29,2,,2.158,VC Sports Group,,,,Arb,Arb,"[1.0, -0.7]","[5.0, 24.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017]",True,1.0
22,Matt Bush\bushma01,35,4,Free Agency,2.132,Full Circle Sport...,,,,Arb,Arb,"[2.1, 0.3, 0.2]","[58.0, 57.0, 21.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2021]",True,0.0
23,Ronald Guzman\guzmaro01,26,4,Amateur Free Agent,2.083,Octagon,,,,Arb,Arb,"[0.8, 0.0, 1.0799999999999998]","[123.0, 87.0, 26.0, 7.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
24,Brock Burke\burkebr01,24,1st,Traded,1.041,Sosnick Cobbe & K...,,,,Arb,Arb,[-0.1],[6.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2019],True,1.0
25,Willie Calhoun\calhowi01,26,5,Traded,2.033,MVP Sports Group,,,,Arb,Arb,"[0.0, -0.7, 0.6, -2.97]","[13.0, 35.0, 83.0, 29.0, 47.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
26,Brett Martin\martibr01,26,3,Amateur Draft,1.151,,,,,Arb,Arb,"[0.6, 1.0799999999999998]","[51.0, 15.0, 24.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
27,Taylor Hearn\hearnta01,26,3,Traded,1.122,,,,,Arb,Arb,"[-0.3, 0.5399999999999999]","[1.0, 14.0, 20.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
28,Kolby Allard\allarko01,23,4,Traded,1.114,,,,,Arb,Arb,"[-0.19999999999999996, 0.8, -1.62]","[3.0, 9.0, 11.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.23076923076923078
29,Jose Trevino\trevijo01,28,4,Amateur Draft,1.055,,,,,Arb,Arb,"[-0.1, 0.0, 0.81]","[3.0, 40.0, 24.0, 46.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
30,Jonathan Hernandez\hernajo02,24,2,Amateur Free Agent,1.041,,,,,Arb,Arb,"[0.3, 2.43]","[9.0, 27.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",True,0.05555555555555555
31,Nick Solak\solakni01,26,3,Traded,1.041,Sosnick Cobbe & K...,,,,Arb,Arb,"[0.7, -2.97]","[33.0, 58.0, 65.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
32,Wes Benjamin\benjawe01,27,2,Amateur Draft,0.133,,,,,,Arb,[0.5399999999999999],"[8.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.16666666666666666
33,Leody Taveras\taverle01,22,2,Amateur Free Agent,0.114,,,,,,Arb,[3.24],"[33.0, 15.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
34,Anderson Tejeda\tejedan01,23,2,Amateur Free Agent,0.103,,,,,,Arb,[0.81],"[23.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
