,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,career,games,contracts,years,pitcher,start_ratio
32,Ryan Goins\goinsry01,33,8,,5.041,Octagon,,Arb,,,,,,,,"[0.9, 0.2, 2.0, -0.7, 1.0, 0.3, 0.0, -0.26999999999999996]","[34.0, 67.0, 128.0, 76.0, 143.0, 41.0, 52.0, 14.0]","[{'type': 'arb', 'value': None}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",False,
33,Abraham Almonte\almonab01,32,9,Free Agency,4.059,ISE Baseball,,Arb,,FA,,,,,,"[0.2, 0.7, 0.8, 0.6, 0.1, -0.7, 0.5, -0.5399999999999999]","[25.0, 59.0, 82.0, 67.0, 69.0, 50.0, 17.0, 7.0, 12.0]","[{'type': 'salary', 'value': 570000.0}, {'type': 'arb', 'value': None}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
34,Yoan López\lopezyo01,28,4,,2.011,,,,,Arb,Arb,FA,,,,"[0.1, 0.5, -0.5399999999999999]","[10.0, 70.0, 20.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
35,Kevan Smith\smithke04,33,6,Purchased,4.001,Bryan Hamper,,Arb,,FA,,,,,,"[-0.1, -0.2, 0.5, 0.5, 0.81]","[7.0, 87.0, 52.0, 67.0, 17.0, 8.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
36,Jesse Biddle\biddlje01,29,4,Free Agency,3.088,Sosnick Cobbe & K...,,Arb,,Arb,FA,,,,,"[0.6, -1.0, 0.0]","[60.0, 30.0, 1.0, 8.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
37,Sean Newcomb\newcose01,28,5,Traded,2.166,The Legacy Agency,,,,Arb,Arb,FA,,,,"[1.0999999999999999, 1.2000000000000002, 1.2999999999999998, -1.35]","[19.0, 31.0, 55.0, 4.0, 19.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,0.0
38,Phil Ervin\ervinph01,28,4,,2.115,Moye Sports,,,,Arb,Arb,FA,,,,"[0.1, -0.5, 0.8, -0.2699999999999999]","[28.0, 78.0, 94.0, 37.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020]",False,
39,Chasen Bradford\bradfch02,31,3,,2.084,,,,,Arb,Arb,FA,,,,"[0.3, 0.7, 0.1]","[28.0, 46.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019]",True,0.0
40,Kyle Wright\wrighky01,25,4,Amateur Draft,1.04,,,,,Arb,Arb,Arb,FA,,,"[0.0, -0.6, 0.81]","[4.0, 7.0, 8.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,1.0
41,Edgar Santana\santaed01,29,3,Purchased,2.048,,,,,Arb,Arb,FA,,,,"[0.2, 1.1]","[19.0, 69.0, 15.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2021]",True,0.0
42,Victor Arano\aranovi01,26,3,,2.02,,,,,Arb,Arb,FA,,,,"[0.5, 2.0, 0.0]","[10.0, 60.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019]",True,0.0
43,Tyler Matzek\matzety01,30,4,Free Agency,2.019,PSI Sports Manage...,,,,Arb,Arb,FA,,,,"[2.1, 0.8, 2.43]","[20.0, 5.0, 21.0, 27.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2015, 2020, 2021]",True,0.0
44,Jacob Webb\webbja01,27,3,Amateur Draft,1.155,,,,,Arb,Arb,Arb,FA,,,"[0.9, 0.5399999999999999]","[36.0, 8.0, 16.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
45,Austin Riley\rileyau01,24,3,Amateur Draft,1.138,,,,,Arb,Arb,Arb,FA,,,"[0.0, -1.89]","[80.0, 51.0, 61.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
46,Touki Toussaint\toussto01,25,3,Traded,1.065,,,,,Arb,Arb,Arb,FA,,,"[0.3, -0.4, -2.1599999999999997]","[7.0, 24.0, 7.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",True,0.2894736842105263
47,Bryse Wilson\wilsobr02,23,4,Amateur Draft,0.165,,,,,Arb,Arb,Arb,Arb,FA,,"[-0.1, -0.4, 0.81]","[3.0, 6.0, 6.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,1.0
48,Alex Jackson\jacksal02,25,3,Traded,0.076,,,,,,Arb,Arb,Arb,FA,,"[-0.3, 0.0]","[4.0, 5.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
49,Huascar Ynoa\ynoahu01,23,3,Traded,0.141,Wasserman,,,,,Arb,Arb,Arb,FA,,"[-0.2, 0.26999999999999996]","[2.0, 9.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.8888888888888888
50,Ian Anderson\anderia01,23,2,Amateur Draft,0.094,,,,,,Arb,Arb,Arb,FA,,[3.51],"[6.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,1.0
51,Trevor Kelley\kelletr01,27,2,,0.092,C.L. Rocks Corpor...,,,,,Arb,Arb,Arb,FA,,"[-0.3, -0.26999999999999996]","[10.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",True,0.0
52,Jaycob Brugman\brugmja01,29,1st,,0.063,,,,,,Arb,Arb,Arb,FA,,[-0.4],[48.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2017],False,
53,Jose Rodríguez\rodrijo07,25,2,,0.048,,,,,,Arb,Arb,Arb,FA,,"[0.5, 0.5399999999999999]","[9.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",True,0.1
54,Cristian Pache\pachecr01,22,2,Amateur Free Agent,0.022,,,,,,Arb,Arb,Arb,FA,,[-0.26999999999999996],"[2.0, 22.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
55,William Contreras\contrwi02,23,2,Amateur Free Agent,0.017,,,,,,Arb,Arb,Arb,FA,,[0.26999999999999996],"[4.0, 31.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
56,Tucker Davidson\davidtu01,25,2,Amateur Draft,0.003,,,,,,Arb,Arb,Arb,FA,,[-0.81],"[1.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,1.0
