,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,career,games,contracts,years,pitcher,start_ratio
10,Gary Sanchez\sanchga02,28,7,Amateur Free Agent,4.086,Magnus Sports,1 yr/$6.35M (21),$6.35M,Arb,FA,,,,,,"[0.0, 3.0, 4.0, 1.1, 3.1, -0.81]","[2.0, 53.0, 122.0, 89.0, 106.0, 49.0, 46.0]","[{'type': 'salary', 'value': 6350000.0}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
11,Luke Voit\voitlu01,30,5,Traded,2.169,,1 yr/$4.7M (21),$4.7M,Arb,Arb,Arb,FA,,,,"[0.2, 1.4000000000000001, 1.2, 4.59]","[62.0, 47.0, 118.0, 56.0, 12.0]","[{'type': 'salary', 'value': 4700000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
12,Gio Urshela\urshegi01,29,6,Purchased,3.127,Rep 1 Baseball,1 yr/$4.65M (21),$4.65M,Arb,Arb,FA,,,,,"[-0.3, -0.5, -0.4, 3.7, 5.4]","[81.0, 67.0, 19.0, 132.0, 43.0, 56.0]","[{'type': 'salary', 'value': 4650000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2017, 2018, 2019, 2020, 2021]",False,
13,Justin Wilson\wilsoju10,33,10,Free Agency,8.035,ACES (Sam & Seth ...,1 yr/$4M (21) & 22 team option,$2.85M,$1.15M [FA-*],FA,,,,,,"[0.1, 1.7999999999999998, -0.4, 1.5, 0.6, 1.4000000000000001, 0.7, 1.4, 0.81]","[8.0, 58.0, 70.0, 74.0, 66.0, 65.0, 71.0, 45.0, 23.0, 15.0]","[{'type': 'salary', 'value': 2850000.0}, {'type': 'team option', 'value': 7150000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
14,Brett Gardner\gardnbr01,37,14,Free Agency,12.072,Pro Star Manageme...,1 yr/$4M (21) & 22 team option,$2.85M,$1.15M [FA-*],FA,,,,,,"[1.3, 2.3, 7.4, 4.1, 0.2, 4.2, 3.8, 3.6, 3.2, 5.0, 3.3, 4.2, 1.89]","[42.0, 108.0, 150.0, 159.0, 16.0, 145.0, 148.0, 151.0, 148.0, 151.0, 140.0, 141.0, 49.0, 53.0]","[{'type': 'salary', 'value': 2850000.0}, {'type': 'team option', 'value': 7150000.0}]","[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
15,Gleyber Torres\torregl01,24,4,Traded,2.162,,1 yr/$4M (21),$4M,Arb,Arb,Arb,FA,,,,"[3.6, 3.0, 0.0]","[123.0, 144.0, 42.0, 55.0]","[{'type': 'salary', 'value': 4000000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
16,Darren O'Day\odayda01,38,14,Free Agency,12.103,Ballengee Group,1 yr/$2.45M (21) & 22 team option,$1.75M,$700k [FA-*],FA,,,,,,"[0.1, 2.4, 2.4, 0.0, 2.5, 1.9, 2.4, 2.7, 0.5, 1.1, 0.4, 0.2, 1.89]","[30.0, 68.0, 72.0, 16.0, 69.0, 68.0, 68.0, 68.0, 34.0, 64.0, 20.0, 8.0, 19.0, 10.0]","[{'type': 'salary', 'value': 1750000.0}, {'type': 'team option', 'value': 3150000.0}]","[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
17,Jameson Taillon\taillja01,29,5,Traded,4.11,Excel Sports Mana...,1 yr/$2.25M (21),$2.25M,Arb,FA,,,,,,"[2.1, 1.0999999999999999, 4.6, 0.4]","[18.0, 25.0, 32.0, 7.0, 12.0]","[{'type': 'salary', 'value': 2250000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2021]",True,1.0
18,Chad Green\greench03,30,6,Traded,4.05,Frontline,1 yr/$2.15M (21),$2.15M,Arb,FA,,,,,,"[0.1, 2.7, 2.1, 0.5, 0.81]","[12.0, 40.0, 63.0, 54.0, 22.0, 28.0]","[{'type': 'salary', 'value': 2150000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
19,Jordan Montgomery\montgjo01,28,5,Amateur Draft,3.145,Beverly Hills Spo...,1 yr/$2.13M (21),$2.13M,Arb,Arb,FA,,,,,"[2.9, 0.5, -0.1, 0.26999999999999996]","[29.0, 6.0, 2.0, 10.0, 12.0]","[{'type': 'salary', 'value': 2130000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,1.0
20,Clint Frazier\frazicl01,26,5,Traded,2.133,,1 yr/$2.1M (21),$2.1M,Arb,Arb,Arb,FA,,,,"[-0.2, 0.1, -0.2, 4.86]","[39.0, 15.0, 69.0, 39.0, 54.0]","[{'type': 'salary', 'value': 2100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
21,Luis Cessa\cessalu01,29,6,Traded,3.131,,1 yr/$1.05M (21),$1.05M,Arb,Arb,FA,,,,,"[0.6, 0.1, -0.1, 0.5, 0.81]","[17.0, 10.0, 16.0, 43.0, 16.0, 21.0]","[{'type': 'salary', 'value': 1050000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
